cve_id,cvss_score,cvss_severity,published,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use
CVE-2005-3967,4.3,MEDIUM,2005-12-03T19:03:00.000,0.01208,0.65473,False,,
CVE-2011-4822,4.3,MEDIUM,2011-12-15T03:57:34.433,0.01528,0.72303,False,,
CVE-2012-2926,9.1,CRITICAL,2012-05-22T15:55:02.853,0.66578,0.99215,False,,
CVE-2012-2928,6.4,MEDIUM,2012-05-22T15:55:02.947,0.0306,0.86337,False,,
CVE-2012-6342,6.8,MEDIUM,2014-05-13T14:55:08.563,0.01665,0.74471,False,,
CVE-2015-8398,6.1,MEDIUM,2016-04-11T21:59:10.367,0.02302,0.81682,False,,
CVE-2015-8399,4.3,MEDIUM,2016-04-11T21:59:11.320,0.61114,0.99075,False,,
CVE-2016-6283,6.1,MEDIUM,2017-01-18T22:59:00.813,0.03826,0.89069,False,,
CVE-2016-6668,7.5,HIGH,2017-01-23T21:59:02.360,0.03743,0.88812,False,,
CVE-2016-4317,5.4,MEDIUM,2017-04-10T03:59:01.153,0.0071,0.50092,False,,
CVE-2017-7415,7.5,HIGH,2017-04-27T10:59:00.143,0.04387,0.90379,False,,
CVE-2017-9505,4.3,MEDIUM,2017-06-15T16:29:00.233,0.01264,0.66915,False,,
CVE-2017-16856,6.1,MEDIUM,2017-12-05T16:29:00.420,0.00809,0.53487,False,,
CVE-2017-9513,5.4,MEDIUM,2018-01-29T19:29:01.063,0.00656,0.48,False,,
CVE-2017-18083,5.4,MEDIUM,2018-02-02T14:29:01.263,0.0058,0.44508,False,,
CVE-2017-18084,4.8,MEDIUM,2018-02-02T14:29:01.327,0.00601,0.45477,False,,
CVE-2017-18085,6.1,MEDIUM,2018-02-02T14:29:01.373,0.00809,0.53486,False,,
CVE-2017-18086,6.1,MEDIUM,2018-02-02T14:29:01.437,0.00809,0.53486,False,,
CVE-2018-13389,4.7,MEDIUM,2018-07-10T13:29:00.607,0.00998,0.59463,False,,
CVE-2018-13393,6.5,MEDIUM,2018-08-15T12:29:00.260,0.008,0.53159,False,,
CVE-2018-13394,6.5,MEDIUM,2018-08-15T12:29:00.447,0.00841,0.54441,False,,
CVE-2018-18289,7.5,HIGH,2018-10-14T21:29:00.713,0.01123,0.63161,False,,
CVE-2018-20237,6.5,MEDIUM,2019-02-13T18:29:00.667,0.01737,0.75521,False,,
CVE-2019-3395,9.8,CRITICAL,2019-03-25T19:29:01.617,0.06712,0.93278,False,,
CVE-2019-3396,9.8,CRITICAL,2019-03-25T19:29:01.647,0.99913,0.99967,True,2021-11-03,Known
CVE-2018-20239,5.4,MEDIUM,2019-04-30T16:29:00.247,0.03401,0.87711,False,,
CVE-2019-15005,4.3,MEDIUM,2019-11-08T04:15:10.307,0.01334,0.6847,False,,
CVE-2019-13347,7.5,HIGH,2019-12-13T13:15:11.193,0.01061,0.61385,False,,
CVE-2019-15006,6.5,MEDIUM,2019-12-19T01:15:10.600,0.01905,0.77753,False,,
CVE-2019-20102,6.1,MEDIUM,2020-04-22T04:15:10.897,0.01085,0.62093,False,,
CVE-2020-4020,7.2,HIGH,2020-06-01T07:15:11.063,0.01669,0.7454,False,,
CVE-2020-4027,4.7,MEDIUM,2020-07-01T02:15:12.350,0.01515,0.7209,False,,
CVE-2020-14175,5.4,MEDIUM,2020-07-24T07:15:14.410,0.01154,0.63974,False,,
CVE-2020-24897,8.9,HIGH,2020-08-29T20:15:16.353,0.00935,0.5745,False,,
CVE-2020-24898,7.6,HIGH,2020-08-29T20:15:16.430,0.00665,0.48358,False,,
CVE-2020-29450,6.5,MEDIUM,2021-01-19T01:15:14.603,0.02214,0.80943,False,,
CVE-2021-37843,9.8,CRITICAL,2021-08-02T19:15:08.567,0.01535,0.72428,False,,
CVE-2021-26085,5.3,MEDIUM,2021-08-03T00:15:08.557,0.99937,0.9997,True,2022-03-28,Known
CVE-2021-43940,7.8,HIGH,2022-02-15T04:15:07.177,0.0033,0.25501,False,,
CVE-2021-39114,8.8,HIGH,2022-04-05T04:15:08.707,0.01657,0.74351,False,,
