cve_id,cvss_score,cvss_severity,published,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use
CVE-2006-3338,2.6,LOW,2006-07-03T18:05:00.000,0.01293,0.67561,False,,
CVE-2006-3339,5.0,MEDIUM,2006-07-03T18:05:00.000,0.01392,0.69749,False,,
CVE-2007-6619,7.5,HIGH,2008-01-03T23:46:00.000,0.01359,0.69074,False,,
CVE-2008-6531,6.8,MEDIUM,2009-03-26T21:00:00.327,0.0263,0.84058,False,,
CVE-2008-6831,4.3,MEDIUM,2009-06-08T19:30:00.297,0.01263,0.6688,False,,
CVE-2008-6832,6.8,MEDIUM,2009-06-08T19:30:00.313,0.00581,0.44535,False,,
CVE-2010-1164,4.3,MEDIUM,2010-04-20T15:30:00.507,0.02235,0.81116,False,,
CVE-2010-1165,9.0,HIGH,2010-04-20T15:30:00.553,0.04436,0.90475,False,,
CVE-2012-2926,9.1,CRITICAL,2012-05-22T15:55:02.853,0.66578,0.99215,False,,
CVE-2012-2927,4.0,MEDIUM,2012-05-22T15:55:02.900,0.01254,0.66657,False,,
CVE-2012-2928,6.4,MEDIUM,2012-05-22T15:55:02.947,0.0306,0.86337,False,,
CVE-2013-5319,4.3,MEDIUM,2013-08-20T14:55:47.040,0.02147,0.80355,False,,
CVE-2014-2313,4.3,MEDIUM,2014-03-09T13:16:57.117,0.02081,0.79722,False,,
CVE-2014-2314,4.3,MEDIUM,2014-03-09T13:16:57.130,0.26151,0.97797,False,,
CVE-2015-5603,6.5,MEDIUM,2015-09-21T19:59:00.137,0.59312,0.99029,False,,
CVE-2015-8481,3.1,LOW,2016-01-08T19:59:13.287,0.01255,0.66673,False,,
CVE-2016-6668,7.5,HIGH,2017-01-23T21:59:02.360,0.03743,0.88812,False,,
CVE-2016-6285,6.1,MEDIUM,2017-01-31T22:59:00.330,0.02111,0.80037,False,,
CVE-2016-4318,4.8,MEDIUM,2017-04-10T03:59:01.187,0.00779,0.52489,False,,
CVE-2016-4319,8.8,HIGH,2017-04-10T03:59:01.217,0.00666,0.48383,False,,
CVE-2017-5983,9.8,CRITICAL,2017-04-10T15:59:00.457,0.16373,0.96657,False,,
CVE-2017-14594,6.1,MEDIUM,2018-01-12T14:29:00.353,0.01039,0.60728,False,,
CVE-2017-16862,4.3,MEDIUM,2018-01-12T14:29:00.617,0.00644,0.4748,False,,
CVE-2017-16864,6.1,MEDIUM,2018-01-12T14:29:00.790,0.01165,0.64297,False,,
CVE-2017-16865,5.3,MEDIUM,2018-01-17T14:29:00.217,0.00689,0.49329,False,,
CVE-2017-18033,6.5,MEDIUM,2018-01-18T14:29:00.383,0.00545,0.4275,False,,
CVE-2017-16863,6.1,MEDIUM,2018-01-18T18:29:00.340,0.00809,0.53486,False,,
CVE-2017-9513,5.4,MEDIUM,2018-01-29T19:29:01.063,0.00656,0.48,False,,
CVE-2017-18039,6.1,MEDIUM,2018-02-02T14:29:00.827,0.0111,0.6283,False,,
CVE-2016-10715,5.4,MEDIUM,2018-03-16T13:29:00.237,0.0056,0.43491,False,,
CVE-2016-10716,5.4,MEDIUM,2018-03-16T13:29:00.283,0.00726,0.50681,False,,
CVE-2017-18097,5.4,MEDIUM,2018-04-06T13:29:00.267,0.00678,0.48905,False,,
CVE-2017-18098,6.1,MEDIUM,2018-04-06T13:29:00.327,0.00899,0.56258,False,,
CVE-2017-18100,6.1,MEDIUM,2018-04-10T13:29:00.323,0.00945,0.57759,False,,
CVE-2017-18101,6.5,MEDIUM,2018-04-10T13:29:00.383,0.01196,0.65142,False,,
CVE-2018-5230,6.1,MEDIUM,2018-05-14T13:29:03.507,0.37611,0.98394,False,,
CVE-2018-5231,7.5,HIGH,2018-05-16T13:29:00.517,0.02806,0.85141,False,,
CVE-2018-13387,6.1,MEDIUM,2018-07-16T13:29:00.347,0.0145,0.7086,False,,
CVE-2018-5232,6.1,MEDIUM,2018-07-18T14:29:00.257,0.01008,0.59788,False,,
CVE-2017-18104,5.9,MEDIUM,2018-07-24T13:29:00.230,0.016,0.73463,False,,
CVE-2018-13395,6.1,MEDIUM,2018-08-28T12:29:00.353,0.01008,0.59789,False,,
CVE-2018-13400,4.7,MEDIUM,2018-10-23T13:29:02.947,0.01436,0.7061,False,,
CVE-2018-13401,6.1,MEDIUM,2018-10-23T13:29:03.040,0.01363,0.69162,False,,
CVE-2018-13402,6.1,MEDIUM,2018-10-23T13:29:03.117,0.01363,0.69162,False,,
CVE-2018-13403,5.4,MEDIUM,2019-02-13T18:29:00.370,0.00944,0.5774,False,,
CVE-2018-13404,4.1,MEDIUM,2019-02-13T18:29:00.417,0.01142,0.63624,False,,
CVE-2018-20232,5.4,MEDIUM,2019-02-13T18:29:00.620,0.00911,0.56669,False,,
CVE-2019-9005,6.5,MEDIUM,2019-04-18T18:29:01.127,0.02108,0.80007,False,,
CVE-2018-20239,5.4,MEDIUM,2019-04-30T16:29:00.247,0.03401,0.87711,False,,
CVE-2019-14994,7.5,HIGH,2019-09-19T15:15:15.377,0.05876,0.925,False,,
CVE-2019-15001,7.2,HIGH,2019-09-19T15:15:15.500,0.11366,0.95569,False,,
CVE-2019-5095,4.3,MEDIUM,2019-10-31T20:15:11.317,0.01123,0.63138,False,,
CVE-2019-15003,5.3,MEDIUM,2019-11-07T04:15:10.550,0.01731,0.75431,False,,
CVE-2019-15004,7.5,HIGH,2019-11-07T04:15:10.613,0.03907,0.89284,False,,
CVE-2019-15005,4.3,MEDIUM,2019-11-08T04:15:10.307,0.01334,0.6847,False,,
CVE-2019-13347,7.5,HIGH,2019-12-13T13:15:11.193,0.01061,0.61385,False,,
CVE-2019-20106,4.3,MEDIUM,2020-02-06T03:15:10.200,0.01191,0.64988,False,,
CVE-2019-20402,4.9,MEDIUM,2020-02-06T03:15:10.450,0.00766,0.52084,False,,
CVE-2019-20403,5.3,MEDIUM,2020-02-06T03:15:10.530,0.0147,0.71289,False,,
CVE-2019-20404,4.3,MEDIUM,2020-02-06T03:15:10.590,0.01297,0.67651,False,,
CVE-2019-20405,4.3,MEDIUM,2020-02-06T03:15:10.670,0.00552,0.43111,False,,
CVE-2019-20098,4.3,MEDIUM,2020-02-12T14:15:11.107,0.00815,0.53664,False,,
CVE-2019-20099,4.3,MEDIUM,2020-02-12T14:15:11.200,0.00743,0.51273,False,,
CVE-2019-20100,4.7,MEDIUM,2020-02-12T14:15:11.263,0.01021,0.60172,False,,
CVE-2020-4016,5.3,MEDIUM,2020-06-01T07:15:10.813,0.01245,0.66437,False,,
CVE-2020-4017,5.3,MEDIUM,2020-06-01T07:15:10.860,0.01245,0.66437,False,,
CVE-2020-4021,5.4,MEDIUM,2020-06-01T07:15:11.110,0.01003,0.59632,False,,
CVE-2019-20409,9.8,CRITICAL,2020-06-23T06:15:11.527,0.02482,0.83053,False,,
CVE-2019-20410,6.5,MEDIUM,2020-06-29T06:15:10.687,0.01864,0.77271,False,,
CVE-2019-20411,4.3,MEDIUM,2020-06-29T06:15:10.780,0.00651,0.4779,False,,
CVE-2019-20412,5.3,MEDIUM,2020-06-29T06:15:10.843,0.01883,0.77493,False,,
CVE-2019-20413,7.5,HIGH,2020-06-29T06:15:10.907,0.02129,0.8019,False,,
CVE-2019-20414,5.4,MEDIUM,2020-06-29T07:15:09.880,0.01047,0.60983,False,,
CVE-2019-20415,4.3,MEDIUM,2020-06-30T03:15:09.913,0.00623,0.46547,False,,
CVE-2019-20416,4.8,MEDIUM,2020-06-30T03:15:09.993,0.0059,0.44997,False,,
CVE-2020-14169,6.1,MEDIUM,2020-07-01T02:15:12.037,0.00765,0.52015,False,,
CVE-2020-4022,6.1,MEDIUM,2020-07-01T02:15:12.130,0.01135,0.63454,False,,
CVE-2020-4024,5.4,MEDIUM,2020-07-01T02:15:12.193,0.00926,0.57099,False,,
CVE-2020-4025,4.8,MEDIUM,2020-07-01T02:15:12.257,0.00918,0.56886,False,,
CVE-2020-4029,4.3,MEDIUM,2020-07-01T02:15:12.413,0.01448,0.70828,False,,
CVE-2019-20418,6.5,MEDIUM,2020-07-03T01:15:10.677,0.01024,0.60303,False,,
CVE-2019-20419,7.8,HIGH,2020-07-03T02:15:10.503,0.0081,0.53503,False,,
CVE-2020-14172,9.8,CRITICAL,2020-07-03T02:15:10.580,0.02505,0.83213,False,,
CVE-2020-14173,5.4,MEDIUM,2020-07-03T02:15:10.660,0.00886,0.55881,False,,
CVE-2019-20897,6.5,MEDIUM,2020-07-13T01:15:11.213,0.01875,0.77393,False,,
CVE-2019-20898,7.5,HIGH,2020-07-13T01:15:13.357,0.01304,0.67794,False,,
CVE-2019-20899,5.3,MEDIUM,2020-07-13T01:15:13.433,0.02139,0.80289,False,,
CVE-2019-20900,4.8,MEDIUM,2020-07-13T01:15:13.510,0.00918,0.56887,False,,
CVE-2020-14174,4.3,MEDIUM,2020-07-13T05:15:11.057,0.01215,0.65661,False,,
CVE-2020-14178,7.5,HIGH,2020-09-01T05:15:10.063,0.03051,0.863,False,,
CVE-2020-14181,5.3,MEDIUM,2020-09-17T01:15:11.747,0.99603,0.99944,False,,
CVE-2020-14177,6.5,MEDIUM,2020-09-21T01:15:12.880,0.02233,0.81093,False,,
CVE-2020-14179,5.3,MEDIUM,2020-09-21T01:15:12.973,0.76042,0.99484,False,,
CVE-2020-14180,4.3,MEDIUM,2020-09-21T01:15:13.053,0.00848,0.54682,False,,
CVE-2020-14184,5.4,MEDIUM,2020-10-12T04:15:12.077,0.00944,0.57725,False,,
CVE-2020-36231,4.3,MEDIUM,2021-02-02T00:15:12.397,0.012,0.65238,False,,
CVE-2020-36234,4.8,MEDIUM,2021-02-15T00:15:12.307,0.01015,0.59991,False,,
CVE-2020-36235,5.3,MEDIUM,2021-02-15T00:15:12.433,0.02001,0.7885,False,,
CVE-2020-36236,6.1,MEDIUM,2021-02-15T00:15:12.497,0.01274,0.67157,False,,
CVE-2020-36237,5.3,MEDIUM,2021-02-15T00:15:12.557,0.01244,0.66417,False,,
CVE-2020-29451,4.3,MEDIUM,2021-02-15T01:15:12.900,0.00846,0.54613,False,,
CVE-2021-26068,8.8,HIGH,2021-02-22T21:15:19.727,0.02714,0.84593,False,,
CVE-2021-26069,5.3,MEDIUM,2021-03-22T05:15:12.057,0.02508,0.8323,False,,
CVE-2021-26070,7.2,HIGH,2021-03-22T05:15:13.257,0.01955,0.78353,False,,
CVE-2020-36287,5.3,MEDIUM,2021-04-09T02:15:12.960,0.08951,0.94748,False,,
CVE-2020-36289,5.3,MEDIUM,2021-05-12T04:15:07.267,0.99209,0.99931,False,,
CVE-2021-26081,5.3,MEDIUM,2021-07-20T04:15:09.683,0.01184,0.64814,False,,
CVE-2021-26082,5.4,MEDIUM,2021-07-20T04:15:10.940,0.00735,0.51,False,,
CVE-2021-26083,5.4,MEDIUM,2021-07-20T04:15:10.993,0.00599,0.454,False,,
CVE-2020-36239,9.8,CRITICAL,2021-07-29T11:15:07.477,0.46689,0.98708,False,,
CVE-2017-18113,8.8,HIGH,2021-08-02T03:15:07.110,0.01802,0.76422,False,,
CVE-2021-37843,9.8,CRITICAL,2021-08-02T19:15:08.567,0.01535,0.72428,False,,
CVE-2021-26086,5.3,MEDIUM,2021-08-16T01:15:06.353,0.99999,0.99992,True,2024-11-12,Unknown
CVE-2021-39112,4.8,MEDIUM,2021-08-25T03:15:06.380,0.0073,0.50818,False,,
CVE-2021-39111,6.1,MEDIUM,2021-08-30T07:15:06.687,0.00978,0.58849,False,,
CVE-2021-39113,7.5,HIGH,2021-08-30T07:15:06.737,0.01809,0.76515,False,,
CVE-2021-39117,4.8,MEDIUM,2021-08-30T07:15:06.783,0.00635,0.47058,False,,
CVE-2021-39115,7.2,HIGH,2021-09-01T23:15:07.430,0.04483,0.9056,False,,
CVE-2021-39119,5.3,MEDIUM,2021-09-01T23:15:07.480,0.00752,0.51575,False,,
CVE-2021-39116,5.5,MEDIUM,2021-09-08T00:15:07.680,0.01075,0.61798,False,,
CVE-2021-39121,4.3,MEDIUM,2021-09-08T02:15:06.737,0.01141,0.6361,False,,
CVE-2021-39122,5.3,MEDIUM,2021-09-08T02:15:06.787,0.01401,0.69925,False,,
CVE-2019-20101,5.3,MEDIUM,2021-09-14T05:15:07.437,0.01375,0.69417,False,,
CVE-2021-39118,5.3,MEDIUM,2021-09-14T05:15:09.900,0.01422,0.70328,False,,
CVE-2021-39123,7.5,HIGH,2021-09-14T05:15:09.993,0.016,0.73462,False,,
CVE-2021-39124,4.3,MEDIUM,2021-09-14T05:15:10.080,0.00528,0.41797,False,,
CVE-2021-39125,5.3,MEDIUM,2021-09-14T07:15:07.233,0.01401,0.69925,False,,
CVE-2021-39128,7.2,HIGH,2021-09-16T06:15:06.833,0.01892,0.77612,False,,
