cve_id,cvss_score,cvss_severity,published,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use
CVE-1999-1306,7.5,HIGH,1992-12-10T05:00:00.000,0.01394,0.69783,False,,
CVE-1999-1466,7.5,HIGH,1992-12-10T05:00:00.000,0.02319,0.81824,False,,
CVE-1999-1216,7.5,HIGH,1993-04-22T04:00:00.000,0.02081,0.79721,False,,
CVE-1999-0161,7.5,HIGH,1995-07-31T04:00:00.000,0.01667,0.74517,False,,
CVE-1999-0160,7.5,HIGH,1997-10-01T04:00:00.000,0.01233,0.66144,False,,
CVE-1999-0230,5.0,MEDIUM,1997-12-15T05:00:00.000,0.0106,0.61352,False,,
CVE-1999-0293,7.5,HIGH,1998-01-01T05:00:00.000,0.02629,0.84053,False,,
CVE-1999-1582,7.5,HIGH,1998-07-15T04:00:00.000,0.01878,0.77421,False,,
CVE-1999-0159,3.5,LOW,1998-08-12T04:00:00.000,0.0108,0.61933,False,,
CVE-1999-0157,5.0,MEDIUM,1998-08-18T04:00:00.000,0.01103,0.62613,False,,
CVE-1999-0158,5.0,MEDIUM,1998-08-31T04:00:00.000,0.01489,0.71615,False,,
CVE-1999-0162,5.0,MEDIUM,1998-09-01T04:00:00.000,0.01654,0.74304,False,,
CVE-1999-0453,5.0,MEDIUM,1999-01-01T05:00:00.000,0.01415,0.70203,False,,
CVE-1999-0063,5.0,MEDIUM,1999-01-11T05:00:00.000,0.08247,0.94355,False,,
CVE-1999-0222,5.0,MEDIUM,1999-03-01T05:00:00.000,0.01359,0.69081,False,,
CVE-1999-0430,5.0,MEDIUM,1999-03-01T05:00:00.000,0.01823,0.76711,False,,
CVE-1999-0415,7.5,HIGH,1999-03-11T05:00:00.000,0.01387,0.69649,False,,
CVE-1999-0416,5.0,MEDIUM,1999-03-11T05:00:00.000,0.03424,0.87783,False,,
CVE-1999-0445,5.0,MEDIUM,1999-04-01T05:00:00.000,0.01118,0.63032,False,,
CVE-1999-0775,10.0,HIGH,1999-06-10T04:00:00.000,0.03129,0.86617,False,,
CVE-1999-0889,7.5,HIGH,1999-07-01T04:00:00.000,0.01366,0.69229,False,,
CVE-1999-0734,7.5,HIGH,1999-08-19T04:00:00.000,0.01418,0.70258,False,,
CVE-1999-1129,7.5,HIGH,1999-09-01T04:00:00.000,0.01601,0.73477,False,,
CVE-1999-0843,5.0,MEDIUM,1999-11-04T05:00:00.000,0.0136,0.69093,False,,
CVE-1999-0998,5.0,MEDIUM,1999-12-16T05:00:00.000,0.01306,0.67837,False,,
CVE-1999-1000,5.0,MEDIUM,1999-12-16T05:00:00.000,0.02021,0.791,False,,
CVE-1999-1001,2.6,LOW,1999-12-16T05:00:00.000,0.01397,0.69848,False,,
CVE-1999-1042,1.2,LOW,1999-12-31T05:00:00.000,0.00336,0.26161,False,,
CVE-1999-1100,7.5,HIGH,1999-12-31T05:00:00.000,0.01362,0.69137,False,,
CVE-1999-1126,2.1,LOW,1999-12-31T05:00:00.000,0.00358,0.28558,False,,
CVE-1999-1175,7.5,HIGH,1999-12-31T05:00:00.000,0.01678,0.74675,False,,
CVE-1999-1464,7.5,HIGH,1999-12-31T05:00:00.000,0.01639,0.74087,False,,
CVE-1999-1465,7.5,HIGH,1999-12-31T05:00:00.000,0.01639,0.74086,False,,
CVE-2000-0613,5.0,MEDIUM,2000-03-20T05:00:00.000,0.09181,0.94832,False,,
CVE-2000-0267,4.6,MEDIUM,2000-04-20T04:00:00.000,0.00357,0.28423,False,,
CVE-2000-0268,5.0,MEDIUM,2000-04-20T04:00:00.000,0.01657,0.7436,False,,
CVE-2000-0380,7.1,HIGH,2000-04-26T04:00:00.000,0.35005,0.98281,False,,
CVE-2000-0345,2.1,LOW,2000-05-03T04:00:00.000,0.0051,0.40719,False,,
CVE-2000-0486,5.0,MEDIUM,2000-05-30T04:00:00.000,0.02071,0.79616,False,,
