cve_id,cvss_score,cvss_severity,published,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use
CVE-2014-3499,7.2,HIGH,2014-07-11T14:55:04.010,0.00393,0.32063,False,,
CVE-2014-5277,5.0,MEDIUM,2014-11-17T16:59:01.480,0.01867,0.77302,False,,
CVE-2014-6407,7.5,HIGH,2014-12-12T15:59:04.337,0.04909,0.91277,False,,
CVE-2014-6408,5.0,MEDIUM,2014-12-12T15:59:06.150,0.03138,0.8666,False,,
CVE-2014-9357,10.0,HIGH,2014-12-16T18:59:15.950,0.06202,0.92827,False,,
CVE-2014-9358,6.4,MEDIUM,2014-12-16T18:59:16.843,0.02527,0.83364,False,,
CVE-2015-1843,4.3,MEDIUM,2015-04-06T15:59:00.073,0.01618,0.73742,False,,
CVE-2015-3627,7.2,HIGH,2015-05-18T15:59:14.930,0.00609,0.45834,False,,
CVE-2015-3629,7.8,HIGH,2015-05-18T15:59:15.807,0.00603,0.45581,False,,
CVE-2015-3630,7.2,HIGH,2015-05-18T15:59:16.807,0.00548,0.42869,False,,
CVE-2015-3631,3.6,LOW,2015-05-18T15:59:17.760,0.00567,0.4389,False,,
CVE-2016-3697,7.8,HIGH,2016-06-01T20:59:06.137,0.00388,0.31633,False,,
CVE-2016-3738,8.8,HIGH,2016-06-08T17:59:07.657,0.01941,0.78204,False,,
CVE-2016-8579,4.0,MEDIUM,2016-10-28T15:59:01.653,0.00358,0.28537,False,,
CVE-2016-8867,7.5,HIGH,2016-10-28T15:59:14.047,0.02754,0.8483,False,,
CVE-2016-9223,9.8,CRITICAL,2016-12-26T08:59:00.207,0.02927,0.8575,False,,
CVE-2016-6595,6.5,MEDIUM,2017-01-04T20:59:00.247,0.0247,0.8297,False,,
CVE-2016-7569,5.5,MEDIUM,2017-01-27T22:59:00.787,0.03481,0.87988,False,,
CVE-2016-8954,9.8,CRITICAL,2017-02-08T22:59:00.667,0.02403,0.82472,False,,
CVE-2017-6507,5.9,MEDIUM,2017-03-24T07:59:00.233,0.01589,0.73299,False,,
CVE-2017-7412,7.8,HIGH,2017-04-04T00:59:00.160,0.00363,0.2903,False,,
CVE-2017-8928,8.8,HIGH,2017-05-14T22:29:00.210,0.02049,0.79392,False,,
CVE-2016-0761,9.8,CRITICAL,2017-05-25T17:29:00.490,0.01605,0.73545,False,,
CVE-2017-7669,7.5,HIGH,2017-06-05T01:29:00.537,0.01795,0.76326,False,,
CVE-2017-11468,7.5,HIGH,2017-07-20T23:29:00.187,0.03192,0.86887,False,,
CVE-2017-1000094,6.5,MEDIUM,2017-10-05T01:29:03.853,0.0097,0.58578,False,,
CVE-2014-0047,7.8,HIGH,2017-10-06T15:29:00.247,0.00388,0.31641,False,,
CVE-2017-10940,8.8,HIGH,2017-10-31T19:29:00.210,0.05423,0.91942,False,,
CVE-2017-14992,6.5,MEDIUM,2017-11-01T17:29:00.277,0.0245,0.82831,False,,
CVE-2017-16539,5.9,MEDIUM,2017-11-04T17:29:00.207,0.01829,0.76798,False,,
CVE-2014-5279,8.8,HIGH,2018-02-06T16:29:00.213,0.0277,0.84924,False,,
CVE-2014-5280,8.8,HIGH,2018-02-06T16:29:00.290,0.00729,0.5077,False,,
CVE-2014-5282,8.1,HIGH,2018-02-06T16:29:00.337,0.01323,0.68183,False,,
CVE-2018-8059,8.8,HIGH,2018-03-11T19:29:00.250,0.00523,0.41571,False,,
CVE-2015-9258,7.5,HIGH,2018-03-31T21:29:00.250,0.01046,0.60958,False,,
CVE-2015-9259,9.8,CRITICAL,2018-03-31T21:29:00.310,0.01318,0.68092,False,,
