cve_id,cvss_score,cvss_severity,published,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use
CVE-2017-7651,7.5,HIGH,2018-04-24T14:29:00.437,0.05294,0.91801,False,,
CVE-2017-7652,7.5,HIGH,2018-04-25T13:29:00.490,0.01679,0.74682,False,,
CVE-2017-7653,5.3,MEDIUM,2018-06-05T20:29:00.293,0.01467,0.71227,False,,
CVE-2017-7654,7.5,HIGH,2018-06-05T20:29:00.340,0.02191,0.80734,False,,
CVE-2018-12543,7.5,HIGH,2018-11-15T15:29:01.350,0.36013,0.98323,False,,
CVE-2018-20145,7.5,HIGH,2018-12-13T20:29:00.240,0.01645,0.74185,False,,
CVE-2018-12546,6.5,MEDIUM,2019-03-27T18:29:00.240,0.00802,0.53239,False,,
CVE-2018-12550,8.1,HIGH,2019-03-27T18:29:00.303,0.01353,0.68933,False,,
CVE-2018-12551,8.1,HIGH,2019-03-27T18:29:00.367,0.01475,0.71362,False,,
CVE-2017-7655,7.5,HIGH,2019-03-27T20:29:02.987,0.01762,0.75879,False,,
CVE-2019-11778,5.4,MEDIUM,2019-09-18T23:15:10.987,0.00761,0.51897,False,,
CVE-2019-11779,6.5,MEDIUM,2019-09-19T14:15:10.573,0.02742,0.84757,False,,
CVE-2021-28166,6.5,MEDIUM,2021-04-07T19:15:12.347,0.00968,0.58525,False,,
CVE-2021-28825,8.8,HIGH,2021-04-14T17:15:14.147,0.0023,0.13841,False,,
CVE-2021-28826,8.8,HIGH,2021-04-14T17:15:14.300,0.0023,0.13841,False,,
CVE-2021-34431,6.5,MEDIUM,2021-07-22T14:15:08.050,0.01113,0.62897,False,,
CVE-2021-34432,7.5,HIGH,2021-07-27T16:15:07.893,0.01247,0.6648,False,,
CVE-2021-34434,5.3,MEDIUM,2021-08-30T20:15:07.363,0.01367,0.69248,False,,
CVE-2021-41039,7.5,HIGH,2021-12-01T20:15:07.933,0.0126,0.66812,False,,
CVE-2023-28366,7.5,HIGH,2023-09-01T16:15:07.790,0.01116,0.6299,False,,
CVE-2023-5632,7.5,HIGH,2023-10-18T09:15:10.080,0.00689,0.49342,False,,
CVE-2024-8376,7.5,HIGH,2024-10-11T16:15:14.860,0.00743,0.51274,False,,
CVE-2024-10525,9.8,CRITICAL,2024-10-30T12:15:02.787,0.58546,0.99011,False,,
CVE-2024-3935,6.5,MEDIUM,2024-10-30T12:15:03.090,0.00749,0.51509,False,,
