cve_id,cvss_score,cvss_severity,published,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use
CVE-2013-4758,6.8,MEDIUM,2013-10-04T17:55:09.947,0.0233,0.81915,False,,
CVE-2014-4326,7.5,HIGH,2014-07-22T14:55:09.550,0.03297,0.87332,False,,
CVE-2014-3120,8.1,HIGH,2014-07-28T19:55:04.490,0.88559,0.99759,True,2022-03-25,Unknown
CVE-2014-6439,4.3,MEDIUM,2014-10-10T01:55:11.430,0.02023,0.79119,False,,
CVE-2015-1427,9.8,CRITICAL,2015-02-17T15:59:04.560,0.99906,0.99966,True,2022-03-25,Unknown
CVE-2015-3337,4.3,MEDIUM,2015-05-01T15:59:06.850,0.33129,0.98205,False,,
CVE-2015-4093,4.3,MEDIUM,2015-06-15T15:59:01.460,0.02043,0.7933,False,,
CVE-2015-4152,6.4,MEDIUM,2015-06-15T15:59:11.540,0.0303,0.86209,False,,
CVE-2015-5531,5.0,MEDIUM,2015-08-17T15:59:02.437,0.9175,0.99806,False,,
CVE-2015-8131,6.8,MEDIUM,2015-12-07T20:59:16.393,0.0088,0.55713,False,,
CVE-2016-1000221,7.5,HIGH,2017-06-16T21:29:00.337,0.01767,0.75953,False,,
CVE-2016-10362,6.5,MEDIUM,2017-06-16T21:29:00.400,0.01082,0.62025,False,,
CVE-2017-8442,6.5,MEDIUM,2017-07-07T20:29:00.177,0.00924,0.57067,False,,
CVE-2015-4165,7.5,HIGH,2017-08-09T16:29:00.253,0.0445,0.90504,False,,
CVE-2017-12629,9.8,CRITICAL,2017-10-14T23:29:00.260,0.91896,0.99809,False,,
CVE-2015-5377,9.8,CRITICAL,2018-03-06T20:29:00.390,0.14576,0.96313,False,,
CVE-2018-8074,8.1,HIGH,2018-03-21T18:29:00.347,0.0152,0.72173,False,,
CVE-2017-12195,6.5,MEDIUM,2018-07-27T15:29:00.297,0.01398,0.69862,False,,
CVE-2018-3825,5.9,MEDIUM,2018-09-19T19:29:00.500,0.00555,0.43233,False,,
CVE-2018-3826,6.5,MEDIUM,2018-09-19T19:29:00.627,0.00692,0.49445,False,,
CVE-2018-3827,8.1,HIGH,2018-09-19T19:29:00.767,0.01014,0.59963,False,,
CVE-2018-3831,8.8,HIGH,2018-09-19T19:29:01.343,0.01985,0.78673,False,,
CVE-2018-17244,6.5,MEDIUM,2018-12-20T22:29:00.240,0.01456,0.70982,False,,
CVE-2018-17247,5.9,MEDIUM,2018-12-20T22:29:00.427,0.01383,0.69569,False,,
CVE-2019-7611,8.1,HIGH,2019-03-25T19:29:02.257,0.02149,0.80373,False,,
CVE-2019-7614,5.9,MEDIUM,2019-07-30T22:15:12.443,0.01008,0.59793,False,,
CVE-2019-7619,5.3,MEDIUM,2019-10-30T14:15:11.380,0.02429,0.82675,False,,
CVE-2019-18460,7.5,HIGH,2019-11-26T15:15:12.127,0.01155,0.63997,False,,
CVE-2019-18456,5.3,MEDIUM,2019-11-26T17:15:12.673,0.0088,0.55719,False,,
CVE-2019-5487,5.3,MEDIUM,2019-12-18T21:15:14.507,0.01392,0.69753,False,,
CVE-2019-19629,7.5,HIGH,2020-01-05T22:15:11.253,0.01155,0.63997,False,,
