cve_id,cvss_score,cvss_severity,published,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use
CVE-2018-12099,6.1,MEDIUM,2018-06-11T11:29:00.413,0.02073,0.79645,False,,
CVE-2018-0039,6.5,MEDIUM,2018-07-11T18:29:00.823,0.00973,0.58719,False,,
CVE-2018-15727,9.8,CRITICAL,2018-08-29T15:29:00.240,0.64284,0.99156,False,,
CVE-2018-19039,6.5,MEDIUM,2018-12-13T19:29:00.403,0.0728,0.9376,False,,
CVE-2018-1000816,5.4,MEDIUM,2018-12-20T15:29:00.643,0.00746,0.51379,False,,
CVE-2015-9282,6.1,MEDIUM,2019-02-06T19:29:00.240,0.01288,0.67454,False,,
CVE-2019-13068,5.4,MEDIUM,2019-06-30T00:15:11.313,0.51915,0.98845,False,,
CVE-2019-15043,7.5,HIGH,2019-09-03T12:15:10.933,0.63388,0.99131,False,,
CVE-2019-15635,4.9,MEDIUM,2019-09-23T17:15:11.173,0.01609,0.73604,False,,
CVE-2018-9090,6.1,MEDIUM,2019-09-24T14:15:11.073,0.00793,0.52936,False,,
CVE-2020-10092,6.1,MEDIUM,2020-03-13T17:15:13.047,0.00691,0.49421,False,,
CVE-2020-10791,6.5,MEDIUM,2020-03-25T14:15:12.447,0.01151,0.63916,False,,
CVE-2020-12245,6.1,MEDIUM,2020-04-24T21:15:13.920,0.01946,0.78256,False,,
CVE-2020-12052,6.1,MEDIUM,2020-04-27T13:15:12.443,0.0148,0.71438,False,,
CVE-2020-12458,5.5,MEDIUM,2020-04-29T16:15:11.760,0.00465,0.37952,False,,
CVE-2020-12459,5.5,MEDIUM,2020-04-29T16:15:11.823,0.00318,0.24173,False,,
CVE-2020-13429,5.4,MEDIUM,2020-05-24T18:15:10.003,0.0068,0.48981,False,,
CVE-2020-13430,6.1,MEDIUM,2020-05-24T18:15:10.097,0.0182,0.76674,False,,
CVE-2018-18623,6.1,MEDIUM,2020-06-02T17:15:11.427,0.01762,0.75873,False,,
CVE-2018-18624,6.1,MEDIUM,2020-06-02T17:15:11.487,0.014,0.69907,False,,
CVE-2018-18625,6.1,MEDIUM,2020-06-02T17:15:11.567,0.01192,0.65025,False,,
CVE-2020-13379,8.2,HIGH,2020-06-03T19:15:10.737,0.99856,0.99961,False,,
CVE-2020-11110,5.4,MEDIUM,2020-07-27T13:15:11.293,0.09619,0.95009,False,,
CVE-2019-19499,6.5,MEDIUM,2020-08-28T15:15:11.953,0.03591,0.88327,False,,
CVE-2020-24303,6.1,MEDIUM,2020-10-28T14:15:12.330,0.01989,0.78717,False,,
CVE-2020-5944,4.3,MEDIUM,2020-11-05T20:15:17.817,0.00824,0.53941,False,,
CVE-2020-25678,4.4,MEDIUM,2021-01-08T18:15:13.293,0.00269,0.18823,False,,
CVE-2021-27358,7.5,HIGH,2021-03-18T20:15:13.253,0.83042,0.99646,False,,
CVE-2021-27962,7.1,HIGH,2021-03-22T14:15:14.023,0.02068,0.79596,False,,
CVE-2021-28146,6.5,MEDIUM,2021-03-22T14:15:14.100,0.01397,0.69837,False,,
CVE-2021-28147,6.5,MEDIUM,2021-03-22T15:15:14.537,0.0161,0.73612,False,,
CVE-2021-28148,7.5,HIGH,2021-03-22T15:15:14.597,0.03497,0.88039,False,,
CVE-2021-31231,5.5,MEDIUM,2021-04-30T13:15:07.547,0.00277,0.19871,False,,
CVE-2021-27437,9.1,CRITICAL,2021-05-07T15:15:07.460,0.01242,0.66363,False,,
CVE-2021-32718,3.1,LOW,2021-06-28T15:15:24.233,0.01432,0.70517,False,,
CVE-2021-36156,5.3,MEDIUM,2021-08-03T15:15:08.623,0.01489,0.71623,False,,
CVE-2021-36157,5.3,MEDIUM,2021-08-03T15:15:08.667,0.01392,0.69761,False,,
CVE-2021-39226,9.8,CRITICAL,2021-10-05T18:15:07.947,0.99933,0.99969,True,2022-08-25,Unknown
CVE-2021-41174,6.9,MEDIUM,2021-11-03T18:15:08.413,0.84607,0.99682,False,,
CVE-2021-41244,9.1,CRITICAL,2021-11-15T20:15:19.970,0.02834,0.85292,False,,
CVE-2021-43798,7.5,HIGH,2021-12-07T19:15:07.633,0.88849,0.99762,True,2025-10-09,Unknown
CVE-2021-41090,6.5,MEDIUM,2021-12-08T17:15:11.093,0.00736,0.51045,False,,
CVE-2021-43813,4.3,MEDIUM,2021-12-10T18:15:08.260,0.57499,0.98989,False,,
CVE-2021-43815,4.3,MEDIUM,2021-12-10T21:15:09.497,0.01746,0.75643,False,,
CVE-2022-21673,4.3,MEDIUM,2022-01-18T22:15:07.873,0.01996,0.78803,False,,
CVE-2022-23126,9.8,CRITICAL,2022-01-24T19:15:08.447,0.02208,0.80895,False,,
CVE-2022-21702,6.5,MEDIUM,2022-02-08T20:15:08.987,0.0234,0.81992,False,,
CVE-2022-21703,6.3,MEDIUM,2022-02-08T21:15:20.150,0.02236,0.81122,False,,
CVE-2022-21713,4.3,MEDIUM,2022-02-08T21:15:20.223,0.01158,0.6408,False,,
CVE-2022-26148,9.8,CRITICAL,2022-03-21T20:15:14.030,0.53439,0.98888,False,,
CVE-2022-24812,8.0,HIGH,2022-04-12T17:15:09.503,0.02322,0.81846,False,,
CVE-2022-29171,6.6,MEDIUM,2022-05-06T00:15:08.047,0.01271,0.67069,False,,
CVE-2022-28660,9.8,CRITICAL,2022-05-20T15:15:10.167,0.01112,0.62872,False,,
CVE-2022-29170,6.6,MEDIUM,2022-05-20T16:15:09.513,0.01213,0.65618,False,,
CVE-2022-32275,7.5,HIGH,2022-06-06T19:15:09.813,0.09168,0.94829,False,,
CVE-2022-32276,7.5,HIGH,2022-06-17T13:15:16.443,0.03487,0.88011,False,,
CVE-2022-31097,7.3,HIGH,2022-07-15T12:15:08.903,0.68603,0.99272,False,,
CVE-2022-31107,7.1,HIGH,2022-07-15T13:15:08.397,0.02546,0.83495,False,,
CVE-2022-2531,5.3,MEDIUM,2022-08-05T16:15:12.433,0.01296,0.67636,False,,
CVE-2022-31176,8.3,HIGH,2022-09-02T21:15:16.237,0.0094,0.57618,False,,
CVE-2022-38370,7.5,HIGH,2022-09-05T10:15:09.633,0.01146,0.63743,False,,
CVE-2022-35957,6.6,MEDIUM,2022-09-20T23:15:09.457,0.01351,0.68859,False,,
CVE-2022-36062,7.6,HIGH,2022-09-22T18:15:10.307,0.00635,0.47091,False,,
CVE-2022-31123,6.1,MEDIUM,2022-10-13T22:15:10.050,0.00261,0.17667,False,,
CVE-2022-31130,4.9,MEDIUM,2022-10-13T23:15:09.637,0.01008,0.59793,False,,
CVE-2022-39201,6.8,MEDIUM,2022-10-13T23:15:10.850,0.01285,0.67397,False,,
CVE-2022-39229,4.3,MEDIUM,2022-10-13T23:15:10.937,0.00858,0.55045,False,,
CVE-2022-39328,9.8,CRITICAL,2022-11-08T23:15:11.737,0.00977,0.58829,False,,
CVE-2022-39306,6.4,MEDIUM,2022-11-09T22:15:16.303,0.00707,0.4998,False,,
CVE-2022-39307,6.7,MEDIUM,2022-11-09T23:15:12.617,0.00702,0.49805,False,,
CVE-2022-46156,7.2,HIGH,2022-11-30T22:15:10.640,0.00473,0.38513,False,,
CVE-2022-44643,5.7,MEDIUM,2022-12-20T15:15:11.780,0.00473,0.38522,False,,
CVE-2022-23552,7.3,HIGH,2023-01-27T23:15:08.597,0.00779,0.52486,False,,
CVE-2022-39324,6.7,MEDIUM,2023-01-27T23:15:08.723,0.00828,0.54073,False,,
CVE-2022-23498,7.1,HIGH,2023-02-03T22:15:09.463,0.01132,0.6339,False,,
CVE-2023-0507,7.3,HIGH,2023-03-01T16:15:09.647,0.1546,0.96475,False,,
CVE-2023-0594,7.3,HIGH,2023-03-01T16:15:09.743,0.09216,0.94853,False,,
CVE-2023-22462,6.4,MEDIUM,2023-03-02T01:15:11.727,0.01562,0.72901,False,,
CVE-2023-1410,6.2,MEDIUM,2023-03-23T08:15:12.470,0.00962,0.58289,False,,
CVE-2023-24831,9.8,CRITICAL,2023-04-17T07:15:07.640,0.01222,0.65847,False,,
CVE-2023-1387,4.2,MEDIUM,2023-04-26T14:15:09.430,0.01504,0.71906,False,,
CVE-2023-2183,4.1,MEDIUM,2023-06-06T19:15:11.277,0.01027,0.6038,False,,
CVE-2023-2801,7.5,HIGH,2023-06-06T19:15:11.413,0.00745,0.51337,False,,
CVE-2023-3128,9.4,CRITICAL,2023-06-22T21:15:09.573,0.03995,0.8954,False,,
CVE-2023-4822,6.7,MEDIUM,2023-10-16T09:15:11.687,0.01074,0.61792,False,,
