cve_id,cvss_score,cvss_severity,published,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use
CVE-2012-2942,5.1,MEDIUM,2012-05-27T20:55:05.017,0.05413,0.91932,False,,
CVE-2013-1912,5.1,MEDIUM,2013-04-10T15:55:15.283,0.05464,0.91987,False,,
CVE-2013-2175,5.0,MEDIUM,2013-08-19T13:07:58.227,0.03519,0.88108,False,,
CVE-2014-6269,5.0,MEDIUM,2014-09-30T14:55:11.453,0.03813,0.89033,False,,
CVE-2015-3281,5.0,MEDIUM,2015-07-06T15:59:06.167,0.04274,0.90153,False,,
CVE-2016-3711,3.3,LOW,2016-06-08T17:59:06.737,0.00355,0.28239,False,,
CVE-2016-5360,7.5,HIGH,2016-06-30T17:59:10.877,0.4282,0.9859,False,,
CVE-2016-2102,5.3,MEDIUM,2017-08-22T18:29:00.310,0.02008,0.78967,False,,
CVE-2018-10184,7.5,HIGH,2018-05-09T07:29:00.280,0.0843,0.94469,False,,
CVE-2018-11469,5.9,MEDIUM,2018-05-25T14:29:00.323,0.03022,0.86175,False,,
CVE-2018-14645,7.5,HIGH,2018-09-21T13:29:00.453,0.03009,0.86115,False,,
CVE-2018-20102,7.5,HIGH,2018-12-12T17:29:00.247,0.04347,0.90296,False,,
CVE-2018-20103,7.5,HIGH,2018-12-12T17:29:00.293,0.06593,0.93186,False,,
CVE-2019-8953,6.1,MEDIUM,2019-02-20T16:29:00.900,0.52236,0.98852,False,,
CVE-2018-20615,7.5,HIGH,2019-03-21T16:00:36.297,0.04459,0.90526,False,,
CVE-2019-11323,5.9,MEDIUM,2019-05-09T14:29:00.307,0.0125,0.66567,False,,
CVE-2019-14241,7.5,HIGH,2019-07-23T13:15:13.240,0.7024,0.9932,False,,
CVE-2019-14243,7.5,HIGH,2019-07-23T22:15:11.643,0.04295,0.90197,False,,
CVE-2019-18277,7.5,HIGH,2019-10-23T14:15:10.557,0.10024,0.95157,False,,
CVE-2019-19330,9.8,CRITICAL,2019-11-27T16:15:11.720,0.03955,0.89436,False,,
CVE-2013-0163,5.5,MEDIUM,2019-12-05T15:15:11.000,0.00305,0.228,False,,
CVE-2020-11100,8.8,HIGH,2020-04-02T15:15:17.483,0.60727,0.99064,False,,
CVE-2020-35195,9.8,CRITICAL,2020-12-17T02:15:13.300,0.02174,0.80596,False,,
CVE-2021-39240,7.5,HIGH,2021-08-17T19:15:08.247,0.02319,0.81829,False,,
CVE-2021-39241,5.3,MEDIUM,2021-08-17T19:15:08.287,0.0177,0.75998,False,,
CVE-2021-39242,7.5,HIGH,2021-08-17T19:15:08.320,0.02341,0.8201,False,,
CVE-2021-40346,7.5,HIGH,2021-09-08T17:15:12.457,0.57934,0.98997,False,,
CVE-2022-0711,7.5,HIGH,2022-03-02T22:15:08.313,0.16563,0.96697,False,,
CVE-2021-4047,7.5,HIGH,2022-04-11T20:15:16.437,0.00897,0.56218,False,,
CVE-2022-31125,10.0,CRITICAL,2022-07-06T18:15:19.367,0.20168,0.97207,False,,
CVE-2022-31126,10.0,CRITICAL,2022-07-06T18:15:19.433,0.49937,0.98789,False,,
CVE-2022-31137,10.0,CRITICAL,2022-07-08T20:15:07.980,0.90387,0.99789,False,,
CVE-2022-31161,10.0,CRITICAL,2022-07-15T21:15:08.710,0.26819,0.9784,False,,
CVE-2022-1677,6.3,MEDIUM,2022-09-01T21:15:09.007,0.00521,0.41425,False,,
CVE-2022-41881,5.3,MEDIUM,2022-12-12T18:15:12.773,0.01466,0.71197,False,,
CVE-2023-25725,9.1,CRITICAL,2023-02-14T19:15:11.530,0.05493,0.9202,False,,
CVE-2023-25802,7.5,HIGH,2023-03-13T20:15:14.967,0.01012,0.59927,False,,
CVE-2023-25803,7.5,HIGH,2023-03-13T20:15:15.057,0.01206,0.65392,False,,
CVE-2023-25804,7.5,HIGH,2023-03-15T18:15:10.617,0.00761,0.51901,False,,
CVE-2023-0056,6.5,MEDIUM,2023-03-23T21:15:19.087,0.01834,0.76861,False,,
CVE-2023-0836,7.5,HIGH,2023-03-29T21:15:07.950,0.01201,0.65264,False,,
CVE-2023-25950,7.3,HIGH,2023-04-11T09:15:07.937,0.02942,0.85813,False,,
CVE-2023-29004,6.5,MEDIUM,2023-04-17T19:15:07.377,0.00902,0.56345,False,,
CVE-2023-40225,7.2,HIGH,2023-08-10T21:15:10.743,0.01815,0.76609,False,,
CVE-2023-45539,8.2,HIGH,2023-11-28T20:15:07.817,0.01526,0.72275,False,,
CVE-2024-28101,7.5,HIGH,2024-03-21T02:52:23.290,0.0077,0.5218,False,,
CVE-2024-37082,9.1,CRITICAL,2024-07-03T06:15:03.633,0.00545,0.4275,False,,
CVE-2024-43804,8.8,HIGH,2024-08-29T17:15:08.193,0.0256,0.8359,False,,
CVE-2024-45506,7.5,HIGH,2024-09-04T15:15:14.080,0.01203,0.65313,False,,
CVE-2024-49214,5.3,MEDIUM,2024-10-14T04:15:05.853,0.00515,0.41074,False,,
CVE-2024-53008,5.3,MEDIUM,2024-11-28T03:15:16.363,0.01043,0.6086,False,,
CVE-2025-32464,6.8,MEDIUM,2025-04-09T03:15:16.847,0.0072,0.50465,False,,
CVE-2025-46728,7.5,HIGH,2025-05-06T01:15:50.790,0.00665,0.48369,False,,
CVE-2025-6714,7.5,HIGH,2025-07-07T15:15:29.263,0.00307,0.23031,False,,
CVE-2025-59303,6.4,MEDIUM,2025-10-08T16:15:38.870,0.00243,0.15517,False,,
CVE-2025-11230,7.5,HIGH,2025-11-19T10:15:45.020,0.007,0.49756,False,,
CVE-2026-22265,7.5,HIGH,2026-01-15T17:16:07.670,0.02117,0.80079,False,,
CVE-2026-27630,7.5,HIGH,2026-02-26T00:16:23.813,0.00436,0.35913,False,,
CVE-2026-27811,8.8,HIGH,2026-03-18T00:16:19.427,0.02037,0.79261,False,,
CVE-2026-5501,8.1,HIGH,2026-04-10T04:17:17.230,0.00184,0.08171,False,,
CVE-2026-33555,4.0,MEDIUM,2026-04-13T17:16:28.237,0.00297,0.21925,False,,
CVE-2026-33431,6.5,MEDIUM,2026-04-20T21:16:34.823,0.00392,0.31924,False,,
CVE-2026-33432,9.1,CRITICAL,2026-04-20T21:16:34.970,0.00423,0.34862,False,,
CVE-2026-33076,9.8,CRITICAL,2026-04-24T03:16:10.227,0.0082,0.53825,False,,
CVE-2026-33077,7.5,HIGH,2026-04-24T03:16:10.477,0.00428,0.35282,False,,
CVE-2026-33078,9.8,CRITICAL,2026-04-24T03:16:10.657,0.00352,0.2791,False,,
CVE-2026-33208,8.8,HIGH,2026-04-24T03:16:10.863,0.0066,0.48152,False,,
CVE-2026-39806,7.5,HIGH,2026-05-13T14:17:35.700,0.00637,0.47156,False,,
CVE-2026-1784,8.8,HIGH,2026-06-02T09:16:15.683,0.00194,0.09265,False,,
CVE-2026-45549,8.5,HIGH,2026-06-10T15:16:35.997,0.00199,0.09891,False,,
CVE-2026-45550,9.1,CRITICAL,2026-06-10T15:16:36.160,0.00196,0.09511,False,,
CVE-2026-45552,9.9,CRITICAL,2026-06-10T15:16:36.303,0.00267,0.18586,False,,
CVE-2026-45556,9.9,CRITICAL,2026-06-10T15:16:36.457,0.00372,0.2999,False,,
CVE-2026-45558,9.9,CRITICAL,2026-06-10T15:16:36.600,0.00439,0.361,False,,
CVE-2026-45559,4.9,MEDIUM,2026-06-10T15:16:36.743,0.00234,0.14337,False,,
CVE-2026-45560,6.1,MEDIUM,2026-06-10T15:16:36.883,0.00149,0.04563,False,,
CVE-2026-45561,6.5,MEDIUM,2026-06-10T15:16:37.023,0.00218,0.12306,False,,
CVE-2026-45563,4.3,MEDIUM,2026-06-10T15:16:37.167,0.00176,0.07262,False,,
CVE-2026-45564,8.8,HIGH,2026-06-10T15:16:37.307,0.00304,0.22742,False,,
CVE-2026-45565,8.1,HIGH,2026-06-10T16:17:07.350,0.00304,0.22679,False,,
CVE-2026-45566,6.1,MEDIUM,2026-06-10T16:17:07.600,0.00153,0.04989,False,,
CVE-2026-45567,8.3,HIGH,2026-06-10T16:17:07.957,0.00244,0.15529,False,,
CVE-2026-45569,8.1,HIGH,2026-06-10T16:17:08.433,0.00316,0.23933,False,,
CVE-2026-44893,7.5,HIGH,2026-06-12T15:16:26.103,0.00617,0.46243,False,,
CVE-2026-48059,7.5,HIGH,2026-06-12T16:16:30.720,0.0063,0.46825,False,,
CVE-2026-55203,7.5,HIGH,2026-06-18T17:16:34.373,0.00347,0.27404,False,,
CVE-2026-55204,7.5,HIGH,2026-06-18T17:16:34.567,0.00484,0.39165,False,,
CVE-2026-48772,10.0,CRITICAL,2026-06-19T20:16:17.803,0.00233,0.1413,False,,
CVE-2026-26080,3.7,LOW,2026-07-20T16:16:57.057,0.00416,0.34279,False,,
CVE-2026-26081,4.8,MEDIUM,2026-07-20T16:16:57.203,0.00363,0.28993,False,,
CVE-2026-59919,5.5,MEDIUM,2026-07-29T18:16:56.610,0.00113,0.01613,False,,
