cve_id,cvss_score,cvss_severity,published,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use
CVE-2011-4344,2.6,LOW,2011-12-01T11:55:07.317,0.01231,0.6609,False,,
CVE-2012-0324,4.3,MEDIUM,2012-03-09T11:55:01.053,0.01124,0.63201,False,,
CVE-2012-0325,4.3,MEDIUM,2012-03-09T11:55:01.083,0.01124,0.63201,False,,
CVE-2012-6072,4.3,MEDIUM,2013-02-24T22:55:01.097,0.01832,0.76827,False,,
CVE-2012-6073,5.8,MEDIUM,2013-02-24T22:55:01.143,0.01832,0.76827,False,,
CVE-2012-6074,3.5,LOW,2013-02-24T22:55:01.207,0.01424,0.70375,False,,
CVE-2013-0158,2.6,LOW,2013-02-24T22:55:01.253,0.02455,0.82869,False,,
CVE-2013-0327,6.8,MEDIUM,2013-03-19T14:55:02.763,0.03147,0.86692,False,,
CVE-2013-0328,4.3,MEDIUM,2013-03-19T14:55:02.787,0.01437,0.70616,False,,
CVE-2013-0329,7.5,HIGH,2013-03-19T14:55:02.813,0.02309,0.81739,False,,
CVE-2013-0330,4.0,MEDIUM,2013-03-19T14:55:02.833,0.01762,0.75881,False,,
CVE-2013-0331,4.0,MEDIUM,2013-03-19T14:55:02.853,0.02003,0.78875,False,,
CVE-2013-6373,5.5,MEDIUM,2013-11-25T19:55:03.340,0.01147,0.63753,False,,
CVE-2013-6374,3.5,LOW,2013-11-25T19:55:03.420,0.00967,0.58496,False,,
CVE-2013-5676,4.0,MEDIUM,2013-12-13T18:55:04.800,0.04987,0.91401,False,,
CVE-2013-5573,4.3,MEDIUM,2013-12-31T16:04:14.447,0.05406,0.91923,False,,
CVE-2014-2059,6.5,MEDIUM,2014-03-01T00:01:09.387,0.02527,0.83365,False,,
CVE-2014-2067,3.5,LOW,2014-03-01T00:01:09.417,0.01412,0.70142,False,,
CVE-2013-2033,2.1,LOW,2014-04-10T20:29:20.127,0.01875,0.77394,False,,
CVE-2013-6372,2.1,LOW,2014-05-08T14:29:11.940,0.00497,0.39982,False,,
CVE-2013-2034,6.8,MEDIUM,2014-05-14T19:55:07.403,0.01624,0.73838,False,,
CVE-2014-3678,4.3,MEDIUM,2014-10-10T14:55:07.133,0.0184,0.76933,False,,
CVE-2014-3664,4.0,MEDIUM,2014-10-15T14:55:07.727,0.02466,0.82942,False,,
CVE-2014-3681,4.3,MEDIUM,2014-10-15T14:55:07.760,0.02132,0.80221,False,,
CVE-2014-3661,5.0,MEDIUM,2014-10-16T19:55:07.910,0.01803,0.76437,False,,
CVE-2014-3662,5.0,MEDIUM,2014-10-16T19:55:07.970,0.01736,0.75505,False,,
CVE-2014-3663,6.0,MEDIUM,2014-10-16T19:55:08.017,0.01384,0.69596,False,,
CVE-2014-3666,7.5,HIGH,2014-10-16T19:55:08.050,0.03652,0.88535,False,,
CVE-2014-3667,4.0,MEDIUM,2014-10-16T19:55:08.097,0.01361,0.69121,False,,
CVE-2014-3679,5.0,MEDIUM,2014-10-16T19:55:08.143,0.01781,0.76137,False,,
CVE-2014-3680,4.0,MEDIUM,2014-10-16T19:55:08.190,0.01361,0.69121,False,,
CVE-2013-7330,4.0,MEDIUM,2014-10-17T15:55:05.463,0.01595,0.7338,False,,
CVE-2014-2058,6.5,MEDIUM,2014-10-17T15:55:05.510,0.01844,0.76988,False,,
CVE-2014-2060,5.0,MEDIUM,2014-10-17T15:55:05.557,0.01548,0.72675,False,,
CVE-2014-2061,5.0,MEDIUM,2014-10-17T15:55:05.603,0.02049,0.79393,False,,
CVE-2014-2062,6.5,MEDIUM,2014-10-17T15:55:05.650,0.01748,0.75666,False,,
CVE-2014-2063,7.5,HIGH,2014-10-17T15:55:05.680,0.02331,0.81926,False,,
CVE-2014-2064,5.0,MEDIUM,2014-10-17T15:55:05.727,0.02952,0.85859,False,,
CVE-2014-2065,4.3,MEDIUM,2014-10-17T15:55:05.790,0.01773,0.76039,False,,
CVE-2014-2066,6.8,MEDIUM,2014-10-17T15:55:05.853,0.02061,0.7951,False,,
CVE-2014-2068,3.5,LOW,2014-10-17T15:55:05.883,0.01425,0.70403,False,,
CVE-2015-1806,6.5,MEDIUM,2015-10-16T20:59:04.527,0.02523,0.83337,False,,
CVE-2015-1807,3.5,LOW,2015-10-16T20:59:06.433,0.01812,0.7656,False,,
CVE-2015-1808,3.5,LOW,2015-10-16T20:59:07.637,0.01577,0.73117,False,,
CVE-2015-1810,4.6,MEDIUM,2015-10-16T20:59:08.717,0.01569,0.72989,False,,
CVE-2015-1812,4.3,MEDIUM,2015-10-16T20:59:09.777,0.01769,0.75976,False,,
CVE-2015-1813,4.3,MEDIUM,2015-10-16T20:59:10.873,0.01769,0.75977,False,,
CVE-2015-1814,7.5,HIGH,2015-10-16T20:59:11.747,0.02346,0.82043,False,,
CVE-2014-3665,6.8,MEDIUM,2015-11-25T20:59:00.190,0.02502,0.83182,False,,
CVE-2015-5317,7.5,HIGH,2015-11-25T20:59:07.680,0.22429,0.97467,True,2023-05-12,Unknown
CVE-2015-5318,6.8,MEDIUM,2015-11-25T20:59:09.103,0.0116,0.64121,False,,
CVE-2015-5319,5.0,MEDIUM,2015-11-25T20:59:10.383,0.02291,0.81588,False,,
CVE-2015-5320,5.0,MEDIUM,2015-11-25T20:59:11.447,0.02081,0.79724,False,,
CVE-2015-5321,5.0,MEDIUM,2015-11-25T20:59:12.447,0.02064,0.79548,False,,
CVE-2015-5322,5.0,MEDIUM,2015-11-25T20:59:13.510,0.03156,0.86737,False,,
CVE-2015-5323,6.5,MEDIUM,2015-11-25T20:59:14.730,0.01491,0.71653,False,,
CVE-2015-5324,5.0,MEDIUM,2015-11-25T20:59:15.950,0.02064,0.79549,False,,
CVE-2015-5325,7.5,HIGH,2015-11-25T20:59:17.107,0.01787,0.76222,False,,
CVE-2015-5326,4.3,MEDIUM,2015-11-25T20:59:18.217,0.01786,0.76208,False,,
CVE-2015-8103,9.8,CRITICAL,2015-11-25T20:59:19.560,0.86714,0.99724,False,,
CVE-2015-7536,5.4,MEDIUM,2016-02-03T18:59:01.070,0.01251,0.66577,False,,
CVE-2015-7537,8.8,HIGH,2016-02-03T18:59:02.007,0.02395,0.82411,False,,
CVE-2015-7538,8.8,HIGH,2016-02-03T18:59:02.977,0.02222,0.81008,False,,
CVE-2015-7539,7.5,HIGH,2016-02-03T18:59:03.900,0.01397,0.69848,False,,
CVE-2016-0788,9.8,CRITICAL,2016-04-07T23:59:00.083,0.1184,0.9569,False,,
CVE-2016-0789,6.1,MEDIUM,2016-04-07T23:59:01.050,0.0179,0.76254,False,,
CVE-2016-0790,5.3,MEDIUM,2016-04-07T23:59:01.927,0.02105,0.79981,False,,
CVE-2016-0791,9.8,CRITICAL,2016-04-07T23:59:02.863,0.02715,0.846,False,,
CVE-2016-0792,8.8,HIGH,2016-04-07T23:59:03.957,0.83259,0.9965,False,,
CVE-2016-3721,4.3,MEDIUM,2016-05-17T14:08:05.593,0.02124,0.80149,False,,
CVE-2016-3722,4.3,MEDIUM,2016-05-17T14:08:07.047,0.02293,0.81597,False,,
CVE-2016-3723,4.3,MEDIUM,2016-05-17T14:08:07.983,0.01926,0.78009,False,,
CVE-2016-3724,6.5,MEDIUM,2016-05-17T14:08:08.843,0.02185,0.80684,False,,
CVE-2016-3725,4.3,MEDIUM,2016-05-17T14:08:09.780,0.02388,0.82357,False,,
CVE-2016-3726,7.4,HIGH,2016-05-17T14:08:10.687,0.02309,0.8174,False,,
CVE-2016-3727,4.3,MEDIUM,2016-05-17T14:08:11.717,0.02308,0.81731,False,,
CVE-2016-9299,9.8,CRITICAL,2017-01-12T23:59:00.527,0.96943,0.99885,False,,
CVE-2016-3101,5.4,MEDIUM,2017-02-09T15:59:00.973,0.01157,0.64057,False,,
CVE-2016-3102,7.3,HIGH,2017-02-09T15:59:01.003,0.01755,0.75779,False,,
CVE-2016-4986,7.5,HIGH,2017-02-09T15:59:01.033,0.03005,0.86105,False,,
CVE-2016-4987,6.5,MEDIUM,2017-02-09T15:59:01.067,0.03005,0.86105,False,,
CVE-2016-4988,6.1,MEDIUM,2017-02-09T15:59:01.097,0.01229,0.66044,False,,
CVE-2017-1000362,9.8,CRITICAL,2017-07-17T13:18:18.547,0.01721,0.7531,False,,
CVE-2014-9634,5.3,MEDIUM,2017-09-12T14:29:00.253,0.0272,0.84623,False,,
CVE-2014-9635,5.3,MEDIUM,2017-09-12T14:29:00.300,0.0272,0.84622,False,,
CVE-2017-1000084,6.5,MEDIUM,2017-10-05T01:29:03.510,0.00781,0.52554,False,,
CVE-2017-1000085,6.5,MEDIUM,2017-10-05T01:29:03.540,0.01031,0.6049,False,,
CVE-2017-1000089,5.3,MEDIUM,2017-10-05T01:29:03.667,0.00958,0.58158,False,,
CVE-2017-1000090,8.8,HIGH,2017-10-05T01:29:03.697,0.00678,0.48909,False,,
CVE-2017-1000091,6.3,MEDIUM,2017-10-05T01:29:03.743,0.00641,0.47302,False,,
CVE-2017-1000092,7.5,HIGH,2017-10-05T01:29:03.773,0.00769,0.52176,False,,
CVE-2017-1000093,8.8,HIGH,2017-10-05T01:29:03.807,0.00678,0.48909,False,,
CVE-2017-1000096,8.8,HIGH,2017-10-05T01:29:03.917,0.01608,0.73587,False,,
CVE-2017-1000104,6.5,MEDIUM,2017-10-05T01:29:04.213,0.00818,0.53762,False,,
CVE-2017-1000106,8.5,HIGH,2017-10-05T01:29:04.273,0.00758,0.51778,False,,
CVE-2017-1000110,4.3,MEDIUM,2017-10-05T01:29:04.400,0.00717,0.50371,False,,
CVE-2017-1000113,5.5,MEDIUM,2017-10-05T01:29:04.510,0.00374,0.30125,False,,
CVE-2017-1000114,3.1,LOW,2017-10-05T01:29:04.540,0.01038,0.60711,False,,
CVE-2017-1000242,3.3,LOW,2017-11-01T13:29:00.380,0.00379,0.30669,False,,
CVE-2017-1000243,4.3,MEDIUM,2017-11-01T13:29:00.427,0.00636,0.47125,False,,
CVE-2017-1000244,8.8,HIGH,2017-11-01T13:29:00.490,0.00832,0.54196,False,,
CVE-2017-7550,9.8,CRITICAL,2017-11-21T17:29:00.210,0.0356,0.88223,False,,
CVE-2017-17383,4.7,MEDIUM,2017-12-06T05:29:00.270,0.01152,0.63943,False,,
CVE-2018-1000008,8.8,HIGH,2018-01-23T14:29:00.297,0.01172,0.64484,False,,
CVE-2018-1000009,8.8,HIGH,2018-01-23T14:29:00.360,0.00946,0.57819,False,,
CVE-2018-1000010,8.8,HIGH,2018-01-23T14:29:00.423,0.00946,0.57819,False,,
CVE-2018-1000011,8.8,HIGH,2018-01-23T14:29:00.487,0.00946,0.57819,False,,
CVE-2018-1000012,8.8,HIGH,2018-01-23T14:29:00.563,0.00946,0.57818,False,,
CVE-2018-1000013,8.8,HIGH,2018-01-23T14:29:00.610,0.01019,0.601,False,,
CVE-2018-1000014,8.8,HIGH,2018-01-23T14:29:00.687,0.00832,0.54196,False,,
CVE-2018-1000015,4.8,MEDIUM,2018-01-23T14:29:00.720,0.01031,0.60497,False,,
CVE-2017-1000502,8.8,HIGH,2018-01-24T23:29:00.230,0.01595,0.73389,False,,
CVE-2017-1000503,8.1,HIGH,2018-01-24T23:29:00.310,0.01145,0.63702,False,,
CVE-2017-1000504,8.1,HIGH,2018-01-24T23:29:00.433,0.01016,0.60033,False,,
CVE-2017-1000505,6.5,MEDIUM,2018-01-25T18:29:00.220,0.00994,0.59338,False,,
CVE-2017-1000386,5.4,MEDIUM,2018-01-26T02:29:00.267,0.00811,0.5353,False,,
CVE-2017-1000387,7.8,HIGH,2018-01-26T02:29:00.330,0.00375,0.30213,False,,
CVE-2017-1000388,4.3,MEDIUM,2018-01-26T02:29:00.377,0.0063,0.46837,False,,
CVE-2017-1000389,6.1,MEDIUM,2018-01-26T02:29:00.423,0.00844,0.54548,False,,
CVE-2017-1000390,4.3,MEDIUM,2018-01-26T02:29:00.470,0.00696,0.49578,False,,
CVE-2017-1000391,7.3,HIGH,2018-01-26T02:29:00.533,0.015,0.71833,False,,
CVE-2017-1000392,4.8,MEDIUM,2018-01-26T02:29:00.610,0.01128,0.6328,False,,
CVE-2017-1000393,8.8,HIGH,2018-01-26T02:29:00.673,0.02561,0.836,False,,
CVE-2017-1000394,7.5,HIGH,2018-01-26T02:29:00.767,0.01146,0.63743,False,,
CVE-2017-1000395,4.3,MEDIUM,2018-01-26T02:29:00.830,0.0131,0.67917,False,,
CVE-2017-1000396,5.9,MEDIUM,2018-01-26T02:29:00.893,0.00497,0.39969,False,,
CVE-2017-1000397,5.9,MEDIUM,2018-01-26T02:29:00.970,0.00488,0.39424,False,,
CVE-2017-1000398,4.3,MEDIUM,2018-01-26T02:29:01.047,0.01008,0.59783,False,,
CVE-2017-1000399,4.3,MEDIUM,2018-01-26T02:29:01.097,0.01008,0.59783,False,,
CVE-2017-1000400,4.3,MEDIUM,2018-01-26T02:29:01.157,0.0083,0.54122,False,,
CVE-2017-1000401,2.2,LOW,2018-01-26T02:29:01.203,0.00391,0.31886,False,,
CVE-2017-1000402,5.9,MEDIUM,2018-01-26T02:29:01.250,0.00488,0.39424,False,,
CVE-2017-1000403,8.8,HIGH,2018-01-26T02:29:01.347,0.00946,0.57819,False,,
CVE-2017-1000404,6.1,MEDIUM,2018-01-26T02:29:01.393,0.00948,0.57859,False,,
CVE-2017-1000353,9.8,CRITICAL,2018-01-29T17:29:00.193,0.99679,0.99949,True,2025-10-02,Unknown
CVE-2017-1000354,8.8,HIGH,2018-01-29T17:29:00.253,0.01214,0.65646,False,,
CVE-2017-1000355,6.5,MEDIUM,2018-01-29T17:29:00.300,0.01743,0.75596,False,,
CVE-2017-1000356,8.8,HIGH,2018-01-29T17:29:00.363,0.06957,0.93495,False,,
CVE-2018-1000054,8.3,HIGH,2018-02-09T23:29:01.933,0.00849,0.54692,False,,
CVE-2018-1000055,8.3,HIGH,2018-02-09T23:29:01.980,0.00849,0.54693,False,,
CVE-2018-1000056,8.3,HIGH,2018-02-09T23:29:02.027,0.01076,0.6184,False,,
CVE-2018-1000057,4.3,MEDIUM,2018-02-09T23:29:02.073,0.00663,0.48307,False,,
CVE-2018-1000058,8.8,HIGH,2018-02-09T23:29:02.120,0.02567,0.8365,False,,
CVE-2018-1000067,5.3,MEDIUM,2018-02-16T00:29:01.213,0.01667,0.74503,False,,
CVE-2018-1000068,5.3,MEDIUM,2018-02-16T00:29:01.887,0.01957,0.7837,False,,
CVE-2018-6356,6.5,MEDIUM,2018-02-20T15:29:00.367,0.03855,0.89148,False,,
CVE-2018-1000104,7.8,HIGH,2018-03-13T13:29:00.357,0.00344,0.27052,False,,
CVE-2018-1000105,4.3,MEDIUM,2018-03-13T13:29:00.407,0.00676,0.48827,False,,
CVE-2018-1000106,5.4,MEDIUM,2018-03-13T13:29:00.453,0.00908,0.56582,False,,
