cve_id,cvss_score,cvss_severity,published,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use
CVE-2012-1789,4.3,MEDIUM,2012-03-19T18:55:03.517,0.01135,0.63474,False,,
CVE-2014-7057,5.4,MEDIUM,2014-10-19T01:55:15.903,0.00293,0.21528,False,,
CVE-2018-0269,4.3,MEDIUM,2018-04-19T20:29:01.580,0.0132,0.68141,False,,
CVE-2018-10734,9.8,CRITICAL,2018-05-08T07:29:00.220,0.01869,0.77323,False,,
CVE-2020-11710,9.8,CRITICAL,2020-04-12T17:15:10.737,0.33127,0.98204,False,,
CVE-2020-35189,9.8,CRITICAL,2020-12-17T01:15:14.127,0.02174,0.80597,False,,
CVE-2021-27306,7.5,HIGH,2021-03-18T15:15:16.230,0.01789,0.76237,False,,
CVE-2021-32753,8.3,HIGH,2021-07-09T19:15:08.373,0.00799,0.53104,False,,
CVE-2021-42192,8.8,HIGH,2022-05-04T11:15:07.950,0.10066,0.95172,False,,
CVE-2020-36661,3.5,LOW,2023-02-12T21:15:10.650,0.0092,0.56937,False,,
CVE-2023-22362,7.5,HIGH,2023-02-13T02:21:07.360,0.00784,0.52633,False,,
CVE-2023-2418,3.1,LOW,2023-04-29T01:15:08.980,0.00726,0.50677,False,,
CVE-2023-26987,6.5,MEDIUM,2023-05-01T22:15:09.483,0.0108,0.61943,False,,
CVE-2023-39846,9.8,CRITICAL,2023-08-16T22:15:13.450,0.00897,0.56213,False,,
CVE-2023-40299,7.8,HIGH,2023-10-04T22:15:09.830,0.00352,0.27865,False,,
CVE-2023-46510,9.8,CRITICAL,2023-10-27T21:15:09.947,0.00767,0.52111,False,,
CVE-2024-34243,5.4,MEDIUM,2024-05-14T16:17:23.870,0.00446,0.36674,False,,
CVE-2025-1353,7.0,HIGH,2025-02-16T15:15:09.320,0.00178,0.07498,False,,
CVE-2022-49048,7.5,HIGH,2025-02-26T07:00:42.073,0.00667,0.48447,False,,
CVE-2025-1087,,,2025-05-09T12:15:32.913,0.0108,0.61946,False,,
CVE-2026-6338,,,2026-06-11T14:16:32.553,0.00253,0.16674,False,,
CVE-2026-13341,7.4,HIGH,2026-07-03T11:16:27.720,0.00258,0.17381,False,,
CVE-2026-61252,5.4,MEDIUM,2026-07-21T22:18:55.900,0.00222,0.12762,False,,
CVE-2026-15228,,,2026-07-29T16:17:49.723,0.0014,0.03803,False,,
CVE-2026-16543,,,2026-07-29T16:17:50.660,0.0014,0.03803,False,,
CVE-2026-17578,,,2026-08-05T11:16:25.197,0.0015,0.04705,False,,
