cve_id,cvss_score,cvss_severity,published,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use
CVE-1999-1368,7.5,HIGH,1999-05-12T04:00:00.000,0.01461,0.71089,False,,
CVE-1999-0682,5.0,MEDIUM,1999-08-06T04:00:00.000,0.26099,0.97794,False,,
CVE-1999-0993,7.5,HIGH,1999-12-13T05:00:00.000,0.06938,0.93482,False,,
CVE-1999-1043,5.0,MEDIUM,1999-12-31T05:00:00.000,0.13332,0.96028,False,,
CVE-2000-0216,5.0,MEDIUM,2000-02-29T05:00:00.000,0.05145,0.91619,False,,
CVE-2000-1006,5.0,MEDIUM,2000-12-11T05:00:00.000,0.14786,0.96355,False,,
CVE-2000-1139,7.5,HIGH,2001-01-09T05:00:00.000,0.05022,0.91445,False,,
CVE-1999-0945,5.0,MEDIUM,2001-03-12T05:00:00.000,0.1952,0.97114,False,,
CVE-2001-0146,5.0,MEDIUM,2001-06-02T04:00:00.000,0.35159,0.98288,False,,
CVE-2001-1319,5.0,MEDIUM,2001-07-16T04:00:00.000,0.29433,0.98001,False,,
CVE-2001-0340,7.5,HIGH,2001-07-21T04:00:00.000,0.06372,0.92988,False,,
CVE-2001-1099,5.0,MEDIUM,2001-09-07T04:00:00.000,0.03238,0.87092,False,,
CVE-2001-0509,5.0,MEDIUM,2001-09-20T04:00:00.000,0.16975,0.96767,False,,
CVE-2001-0660,5.0,MEDIUM,2001-10-30T05:00:00.000,0.2199,0.97428,False,,
CVE-2001-0666,2.1,LOW,2001-10-30T05:00:00.000,0.02051,0.79409,False,,
CVE-2001-0726,7.5,HIGH,2001-12-06T05:00:00.000,0.16119,0.96613,False,,
CVE-2002-0049,6.4,MEDIUM,2002-03-08T05:00:00.000,0.13305,0.96022,False,,
CVE-2002-0054,7.5,HIGH,2002-03-08T05:00:00.000,0.22438,0.97468,False,,
CVE-2002-0055,5.0,MEDIUM,2002-03-08T05:00:00.000,0.34694,0.98269,False,,
CVE-2002-0155,7.5,HIGH,2002-05-29T04:00:00.000,0.24104,0.9763,False,,
CVE-2002-0368,5.0,MEDIUM,2002-06-18T04:00:00.000,0.15239,0.96437,False,,
CVE-2002-0650,5.0,MEDIUM,2002-08-12T04:00:00.000,0.18289,0.96942,False,,
CVE-2002-0698,7.5,HIGH,2002-08-12T04:00:00.000,0.20257,0.9722,False,,
CVE-2002-1117,5.0,MEDIUM,2002-10-04T04:00:00.000,0.01752,0.75742,False,,
CVE-2002-1873,5.0,MEDIUM,2002-12-31T05:00:00.000,0.13585,0.96097,False,,
CVE-2002-1876,2.1,LOW,2002-12-31T05:00:00.000,0.04704,0.9095,False,,
CVE-2003-0007,5.0,MEDIUM,2003-02-07T05:00:00.000,0.03912,0.89296,False,,
CVE-2003-0712,4.3,MEDIUM,2003-11-17T05:00:00.000,0.17357,0.96821,False,,
CVE-2003-0904,6.0,MEDIUM,2004-01-20T05:00:00.000,0.08162,0.94308,False,,
CVE-2004-0830,5.0,MEDIUM,2004-09-09T04:00:00.000,0.01591,0.73328,False,,
CVE-2004-0206,7.5,HIGH,2004-11-03T05:00:00.000,0.74657,0.99451,False,,
CVE-2004-0574,10.0,HIGH,2004-11-03T05:00:00.000,0.64448,0.99161,False,,
CVE-2004-0840,10.0,HIGH,2004-11-03T05:00:00.000,0.30291,0.98048,False,,
CVE-2004-1322,7.5,HIGH,2004-12-15T05:00:00.000,0.02453,0.82853,False,,
CVE-2004-2220,5.0,MEDIUM,2004-12-31T05:00:00.000,0.01516,0.72123,False,,
CVE-2004-1312,10.0,HIGH,2005-01-03T05:00:00.000,0.0247,0.82974,False,,
CVE-2005-0420,5.8,MEDIUM,2005-04-27T04:00:00.000,0.25559,0.97757,False,,
CVE-2005-0738,5.0,MEDIUM,2005-05-02T04:00:00.000,0.04533,0.90648,False,,
CVE-2005-0563,4.3,MEDIUM,2005-06-14T04:00:00.000,0.14217,0.96235,False,,
CVE-2005-1987,7.5,HIGH,2005-10-13T10:02:00.000,0.44499,0.98644,False,,
CVE-2005-3468,5.0,MEDIUM,2005-11-02T23:02:00.000,0.02077,0.79673,False,,
CVE-2006-0002,7.5,HIGH,2006-01-10T22:03:00.000,0.45584,0.98675,False,,
CVE-2006-0761,5.1,MEDIUM,2006-02-18T02:02:00.000,0.02717,0.84606,False,,
CVE-2006-0027,7.5,HIGH,2006-05-10T02:10:00.000,0.78679,0.99549,False,,
CVE-2006-2838,7.6,HIGH,2006-06-06T20:06:00.000,0.0569,0.92268,False,,
CVE-2006-1193,2.6,LOW,2006-06-13T19:06:00.000,0.39173,0.98458,False,,
CVE-2006-6627,10.0,HIGH,2006-12-18T11:28:00.000,0.07378,0.93821,False,,
CVE-2007-1083,9.3,HIGH,2007-02-23T02:28:00.000,0.0823,0.94347,False,,
CVE-2007-2380,5.0,MEDIUM,2007-04-30T23:19:00.000,0.12301,0.95802,False,,
CVE-2007-0039,7.8,HIGH,2007-05-08T23:19:00.000,0.44569,0.98645,False,,
CVE-2007-0213,10.0,HIGH,2007-05-08T23:19:00.000,0.6616,0.99205,False,,
CVE-2007-0220,6.8,MEDIUM,2007-05-08T23:19:00.000,0.33148,0.98207,False,,
CVE-2007-0221,7.8,HIGH,2007-05-08T23:19:00.000,0.37239,0.98378,False,,
CVE-2007-4036,4.3,MEDIUM,2007-07-27T22:30:00.000,0.01453,0.70923,False,,
CVE-2008-1547,4.3,MEDIUM,2008-10-21T01:18:01.927,0.48137,0.98744,False,,
CVE-2008-5555,4.3,MEDIUM,2008-12-12T18:30:03.343,0.12526,0.95841,False,,
CVE-2009-0098,9.3,HIGH,2009-02-10T22:30:00.343,0.24919,0.97704,False,,
CVE-2009-0099,5.0,MEDIUM,2009-02-10T22:30:00.377,0.26239,0.97803,False,,
CVE-2008-6219,7.8,HIGH,2009-02-20T17:30:03.170,0.02945,0.85832,False,,
CVE-2009-0085,7.1,HIGH,2009-03-10T20:30:06.530,0.15193,0.96423,False,,
CVE-2009-1491,9.3,HIGH,2009-05-05T19:30:00.203,0.02818,0.85202,False,,
CVE-2009-1782,6.8,MEDIUM,2009-05-22T20:30:00.877,0.02209,0.809,False,,
CVE-2008-7104,5.0,MEDIUM,2009-08-27T20:30:00.593,0.03329,0.87453,False,,
CVE-2008-7105,5.0,MEDIUM,2009-08-27T20:30:00.627,0.03329,0.87453,False,,
CVE-2008-7106,5.0,MEDIUM,2009-08-27T20:30:00.640,0.02585,0.83761,False,,
CVE-2009-2794,4.6,MEDIUM,2009-09-10T21:30:01.140,0.00258,0.17284,False,,
CVE-2009-3032,10.0,HIGH,2010-03-05T19:30:00.313,0.03737,0.88795,False,,
CVE-2010-0024,5.0,MEDIUM,2010-04-14T16:00:00.587,0.10746,0.95396,False,,
CVE-2010-0025,5.0,MEDIUM,2010-04-14T16:00:00.633,0.21491,0.9738,False,,
CVE-2010-1425,5.0,MEDIUM,2010-04-15T21:30:00.383,0.02151,0.804,False,,
CVE-2010-1689,6.4,MEDIUM,2010-05-07T18:30:01.640,0.06628,0.93213,False,,
CVE-2010-1690,6.4,MEDIUM,2010-05-07T18:30:01.670,0.06572,0.93169,False,,
CVE-2010-3190,7.8,HIGH,2010-08-31T20:00:02.297,0.09111,0.9481,False,,
CVE-2010-2728,9.3,HIGH,2010-09-15T19:00:19.010,0.17253,0.96808,False,,
CVE-2010-3937,4.0,MEDIUM,2010-12-16T19:33:02.567,0.187,0.96991,False,,
CVE-2011-0290,6.5,MEDIUM,2011-10-21T10:55:03.757,0.02104,0.79972,False,,
CVE-2012-2284,2.1,LOW,2012-10-18T17:55:01.613,0.00333,0.25898,False,,
CVE-2012-4791,3.5,LOW,2012-12-12T00:55:01.420,0.13436,0.9606,False,,
CVE-2013-5072,4.3,MEDIUM,2013-12-11T00:55:04.380,0.08876,0.94714,False,,
CVE-2014-0294,10.0,HIGH,2014-02-12T04:50:40.673,0.20895,0.9732,False,,
CVE-2013-7369,7.5,HIGH,2014-04-18T14:55:25.870,0.01274,0.67154,False,,
CVE-2014-2781,7.6,HIGH,2014-07-08T22:55:06.520,0.06024,0.92646,False,,
CVE-2014-6319,5.0,MEDIUM,2014-12-11T00:59:00.067,0.09699,0.9504,False,,
CVE-2014-6325,4.3,MEDIUM,2014-12-11T00:59:01.457,0.08722,0.94629,False,,
CVE-2014-6326,4.3,MEDIUM,2014-12-11T00:59:02.487,0.08722,0.94629,False,,
CVE-2014-6336,3.5,LOW,2014-12-11T00:59:07.597,0.07072,0.93595,False,,
CVE-2015-1628,4.3,MEDIUM,2015-03-11T10:59:31.720,0.08876,0.94715,False,,
CVE-2015-1629,4.3,MEDIUM,2015-03-11T10:59:32.503,0.08876,0.94715,False,,
CVE-2015-1630,4.3,MEDIUM,2015-03-11T10:59:33.317,0.08876,0.94714,False,,
CVE-2015-1631,5.0,MEDIUM,2015-03-11T10:59:34.113,0.09146,0.94821,False,,
CVE-2015-1632,4.3,MEDIUM,2015-03-11T10:59:34.877,0.11786,0.95679,False,,
CVE-2015-3326,5.0,MEDIUM,2015-05-14T00:59:03.647,0.02302,0.81681,False,,
CVE-2015-1764,4.3,MEDIUM,2015-06-10T01:59:33.123,0.1356,0.96093,False,,
CVE-2015-1771,6.8,MEDIUM,2015-06-10T01:59:37.360,0.05795,0.92401,False,,
CVE-2015-2359,4.3,MEDIUM,2015-06-10T01:59:38.110,0.11163,0.95523,False,,
CVE-2015-4949,2.1,LOW,2015-08-23T01:59:02.753,0.00395,0.3228,False,,
CVE-2015-6557,2.1,LOW,2015-08-23T01:59:03.893,0.00329,0.25413,False,,
CVE-2015-4950,4.0,MEDIUM,2015-08-23T14:59:01.677,0.0165,0.74257,False,,
CVE-2015-2505,5.0,MEDIUM,2015-09-09T00:59:18.240,0.18236,0.96933,False,,
CVE-2015-2543,4.3,MEDIUM,2015-09-09T00:59:50.207,0.09483,0.94957,False,,
CVE-2015-2544,4.3,MEDIUM,2015-09-09T00:59:51.190,0.09483,0.94957,False,,
CVE-2015-7404,1.9,LOW,2015-11-14T03:59:05.350,0.00401,0.32901,False,,
CVE-2016-0029,6.1,MEDIUM,2016-01-13T05:59:18.717,0.07583,0.93951,False,,
CVE-2016-0030,6.1,MEDIUM,2016-01-13T05:59:19.607,0.07583,0.93951,False,,
CVE-2016-0031,6.1,MEDIUM,2016-01-13T05:59:20.513,0.07648,0.93992,False,,
CVE-2016-0032,6.1,MEDIUM,2016-01-13T05:59:21.420,0.07583,0.93951,False,,
CVE-2016-0028,5.5,MEDIUM,2016-06-16T01:59:03.167,0.22554,0.97489,False,,
CVE-2016-2207,8.4,HIGH,2016-06-30T23:59:01.150,0.18101,0.96916,False,,
CVE-2016-2209,7.3,HIGH,2016-06-30T23:59:02.497,0.20891,0.9732,False,,
CVE-2016-2210,7.3,HIGH,2016-06-30T23:59:03.667,0.11372,0.9557,False,,
CVE-2016-2211,7.8,HIGH,2016-06-30T23:59:04.730,0.53402,0.98887,False,,
CVE-2016-3644,8.4,HIGH,2016-06-30T23:59:05.760,0.17739,0.96869,False,,
CVE-2016-3645,9.8,CRITICAL,2016-06-30T23:59:06.747,0.24614,0.97676,False,,
CVE-2016-3646,8.4,HIGH,2016-06-30T23:59:07.763,0.17739,0.96868,False,,
CVE-2016-4377,8.1,HIGH,2016-08-22T10:59:06.713,0.07197,0.93703,False,,
CVE-2016-0138,4.3,MEDIUM,2016-09-14T10:59:02.133,0.13457,0.96067,False,,
CVE-2016-3378,7.4,HIGH,2016-09-14T10:59:52.860,0.15276,0.96445,False,,
CVE-2016-3379,6.1,MEDIUM,2016-09-14T10:59:53.860,0.0823,0.94347,False,,
