cve_id,cvss_score,cvss_severity,published,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use
CVE-2009-2629,7.5,HIGH,2009-09-15T22:30:00.233,0.75079,0.99462,False,,
CVE-2009-3896,5.0,MEDIUM,2009-11-24T17:30:00.377,0.11306,0.95555,False,,
CVE-2009-3898,4.9,MEDIUM,2009-11-24T17:30:00.437,0.17598,0.96854,False,,
CVE-2009-4487,6.8,MEDIUM,2010-01-13T20:30:00.357,0.29516,0.98007,False,,
CVE-2010-2263,5.0,MEDIUM,2010-06-15T14:04:24.313,0.71926,0.99369,False,,
CVE-2010-2266,5.0,MEDIUM,2010-06-15T14:04:24.420,0.2151,0.97382,False,,
CVE-2011-4315,6.8,MEDIUM,2011-12-08T20:55:01.000,0.05962,0.92584,False,,
CVE-2012-1180,5.0,MEDIUM,2012-04-17T21:55:01.227,0.10417,0.9529,False,,
CVE-2012-2089,6.8,MEDIUM,2012-04-17T21:55:01.353,0.09629,0.95012,False,,
CVE-2011-4963,5.0,MEDIUM,2012-07-26T19:55:00.980,0.05959,0.9258,False,,
CVE-2012-3380,2.1,LOW,2012-08-31T18:55:03.387,0.01238,0.66264,False,,
CVE-2013-2028,7.5,HIGH,2013-07-20T03:37:20.730,0.87475,0.9974,False,,
CVE-2013-2070,5.8,MEDIUM,2013-07-20T03:37:25.247,0.11925,0.95714,False,,
CVE-2013-0337,7.5,HIGH,2013-10-27T00:55:03.713,0.02195,0.80787,False,,
CVE-2013-4547,7.5,HIGH,2013-11-23T18:55:04.687,0.67718,0.99249,False,,
CVE-2014-0133,7.5,HIGH,2014-03-28T15:55:08.607,0.09293,0.94883,False,,
CVE-2014-0088,7.5,HIGH,2014-04-29T14:38:49.920,0.08663,0.94597,False,,
CVE-2014-3616,4.3,MEDIUM,2014-12-08T11:59:03.390,0.05654,0.9223,False,,
CVE-2014-3556,6.8,MEDIUM,2014-12-29T20:59:03.943,0.07832,0.94106,False,,
CVE-2016-0742,7.5,HIGH,2016-02-15T19:59:00.107,0.81958,0.99619,False,,
CVE-2016-0746,9.8,CRITICAL,2016-02-15T19:59:01.157,0.08625,0.94576,False,,
CVE-2016-0747,5.3,MEDIUM,2016-02-15T19:59:02.123,0.08433,0.94471,False,,
CVE-2016-4450,7.5,HIGH,2016-06-07T14:06:14.200,0.16376,0.96659,False,,
CVE-2016-1247,7.8,HIGH,2016-11-29T17:59:00.167,0.04863,0.91205,False,,
CVE-2017-8301,5.3,MEDIUM,2017-04-27T17:59:00.187,0.01021,0.60153,False,,
CVE-2017-7529,7.5,HIGH,2017-07-13T13:29:00.220,0.62597,0.99112,False,,
CVE-2018-1299,7.5,HIGH,2018-02-06T20:29:00.253,0.03001,0.86083,False,,
CVE-2018-8059,8.8,HIGH,2018-03-11T19:29:00.250,0.00523,0.41571,False,,
CVE-2018-12029,7.0,HIGH,2018-06-17T20:29:00.493,0.00276,0.19725,False,,
CVE-2018-11046,6.5,MEDIUM,2018-06-25T15:29:00.443,0.00903,0.56393,False,,
CVE-2018-1000653,9.8,CRITICAL,2018-08-20T19:31:44.590,0.01202,0.65292,False,,
