cve_id,cvss_score,cvss_severity,published,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use
CVE-2000-1226,5.0,MEDIUM,2000-12-31T05:00:00.000,0.01259,0.66783,False,,
CVE-2001-0669,7.5,HIGH,2001-10-30T05:00:00.000,0.0439,0.90385,False,,
CVE-2001-1558,5.0,MEDIUM,2001-12-31T05:00:00.000,0.01066,0.61587,False,,
CVE-2002-0115,5.0,MEDIUM,2002-03-25T05:00:00.000,0.0364,0.88482,False,,
CVE-2002-1970,2.1,LOW,2002-12-31T05:00:00.000,0.00377,0.30481,False,,
CVE-2003-0033,10.0,HIGH,2003-03-07T05:00:00.000,0.11895,0.95705,False,,
CVE-2003-0209,10.0,HIGH,2003-05-05T04:00:00.000,0.38625,0.98438,False,,
CVE-2003-1379,5.0,MEDIUM,2003-12-31T05:00:00.000,0.01894,0.77628,False,,
CVE-2004-2652,7.8,HIGH,2004-12-31T05:00:00.000,0.11194,0.9553,False,,
CVE-2005-3252,7.5,HIGH,2005-10-18T21:02:00.000,0.83621,0.9966,False,,
CVE-2006-0839,5.0,MEDIUM,2006-02-22T02:02:00.000,0.01376,0.69448,False,,
CVE-2006-2769,5.0,MEDIUM,2006-06-02T10:18:00.000,0.10813,0.95421,False,,
CVE-2006-6931,5.0,MEDIUM,2007-01-16T23:28:00.000,0.02312,0.81765,False,,
CVE-2007-0251,7.8,HIGH,2007-01-16T23:28:00.000,0.0233,0.81909,False,,
CVE-2006-5276,10.0,HIGH,2007-02-20T01:28:00.000,0.79319,0.99564,False,,
CVE-2007-1398,7.1,HIGH,2007-03-10T22:19:00.000,0.05573,0.9212,False,,
CVE-2008-1804,6.8,MEDIUM,2008-05-22T13:09:00.000,0.02269,0.81384,False,,
CVE-2009-3641,4.3,MEDIUM,2009-10-28T14:30:00.250,0.38779,0.98446,False,,
CVE-2009-4211,9.3,HIGH,2009-12-04T22:30:00.203,0.01691,0.74887,False,,
CVE-2014-4693,4.3,MEDIUM,2014-07-02T10:35:26.080,0.01661,0.74432,False,,
CVE-2014-4695,5.8,MEDIUM,2014-07-02T10:35:26.157,0.02067,0.79584,False,,
CVE-2015-6427,5.0,MEDIUM,2015-12-18T11:59:02.793,0.01733,0.75467,False,,
CVE-2016-1463,7.5,HIGH,2016-07-28T01:59:43.760,0.02113,0.80053,False,,
CVE-2016-6439,7.5,HIGH,2016-10-27T21:59:11.093,0.01633,0.73989,False,,
CVE-2016-1417,8.8,HIGH,2017-01-23T21:59:01.003,0.04431,0.9046,False,,
CVE-2017-3885,5.9,MEDIUM,2017-04-07T17:59:00.387,0.01473,0.71336,False,,
CVE-2017-3887,5.9,MEDIUM,2017-04-07T17:59:00.450,0.01266,0.66956,False,,
CVE-2016-6368,8.6,HIGH,2017-04-20T22:59:00.197,0.03013,0.86132,False,,
CVE-2017-6657,7.5,HIGH,2017-05-16T17:29:00.403,0.0106,0.61367,False,,
CVE-2017-6658,7.5,HIGH,2017-05-16T17:29:00.417,0.0106,0.61367,False,,
CVE-2017-12244,8.6,HIGH,2017-10-05T07:29:00.213,0.0158,0.73163,False,,
CVE-2017-12245,8.6,HIGH,2017-10-05T07:29:00.307,0.01589,0.73287,False,,
CVE-2017-12300,5.8,MEDIUM,2017-11-16T07:29:00.367,0.01604,0.7353,False,,
CVE-2018-0230,8.6,HIGH,2018-04-19T20:29:00.473,0.0184,0.76933,False,,
CVE-2018-0281,5.8,MEDIUM,2018-05-02T22:29:01.027,0.01435,0.70579,False,,
CVE-2018-0283,5.8,MEDIUM,2018-05-02T22:29:01.120,0.01435,0.70578,False,,
CVE-2018-0370,7.5,HIGH,2018-07-16T17:29:00.533,0.02195,0.8078,False,,
CVE-2018-0385,7.5,HIGH,2018-07-16T17:29:00.690,0.02333,0.8194,False,,
CVE-2018-0455,7.5,HIGH,2018-10-05T14:29:03.560,0.01485,0.71538,False,,
CVE-2019-0027,5.4,MEDIUM,2019-01-15T21:29:01.917,0.00624,0.46621,False,,
CVE-2019-1691,5.8,MEDIUM,2019-02-21T20:29:00.417,0.02265,0.81356,False,,
CVE-2020-3285,5.8,MEDIUM,2020-05-06T17:15:12.887,0.01419,0.70287,False,,
CVE-2020-3315,5.3,MEDIUM,2020-05-06T17:15:13.823,0.02156,0.80435,False,,
CVE-2020-3299,5.8,MEDIUM,2020-10-21T19:15:15.513,0.02307,0.81716,False,,
CVE-2020-3317,7.5,HIGH,2020-10-21T19:15:15.717,0.00969,0.58563,False,,
CVE-2021-1223,7.5,HIGH,2021-01-13T22:15:20.317,0.01985,0.78672,False,,
CVE-2021-1224,5.8,MEDIUM,2021-01-13T22:15:20.410,0.02005,0.78931,False,,
CVE-2021-1236,5.3,MEDIUM,2021-01-13T22:15:20.583,0.02146,0.80349,False,,
CVE-2021-1495,5.8,MEDIUM,2021-04-29T18:15:09.430,0.01714,0.75214,False,,
CVE-2021-34749,5.8,MEDIUM,2021-08-18T20:15:07.930,0.01684,0.74782,False,,
CVE-2021-40114,6.8,MEDIUM,2021-10-27T19:15:08.667,0.02367,0.82205,False,,
CVE-2021-40116,8.6,HIGH,2021-10-27T19:15:08.717,0.01346,0.68765,False,,
CVE-2022-20751,8.6,HIGH,2022-05-03T04:15:09.700,0.01294,0.67585,False,,
CVE-2022-20767,8.6,HIGH,2022-05-03T04:15:09.963,0.01606,0.73558,False,,
CVE-2022-20922,5.8,MEDIUM,2022-11-15T21:15:30.743,0.00764,0.52007,False,,
CVE-2022-20943,5.8,MEDIUM,2022-11-15T21:15:35.077,0.0089,0.56008,False,,
CVE-2022-20950,5.8,MEDIUM,2022-11-15T21:15:36.110,0.00786,0.52714,False,,
CVE-2023-20177,4.0,MEDIUM,2023-11-01T17:15:11.287,0.00529,0.41866,False,,
CVE-2023-20270,5.8,MEDIUM,2023-11-01T17:15:11.783,0.00668,0.48461,False,,
