cve_id,cvss_score,cvss_severity,published,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use
CVE-2010-2429,4.3,MEDIUM,2010-06-24T12:17:45.250,0.01642,0.74139,False,,
CVE-2010-2502,7.5,HIGH,2010-06-28T18:30:00.937,0.02642,0.84139,False,,
CVE-2010-2503,4.3,MEDIUM,2010-06-28T18:30:00.967,0.00855,0.54904,False,,
CVE-2010-2504,6.0,MEDIUM,2010-06-28T18:30:00.997,0.00867,0.55313,False,,
CVE-2010-3322,8.8,HIGH,2010-09-14T17:00:02.400,0.01048,0.60999,False,,
CVE-2010-3323,4.6,MEDIUM,2010-09-14T17:00:02.447,0.00762,0.51939,False,,
CVE-2011-4642,4.6,MEDIUM,2012-01-03T11:55:03.690,0.28928,0.97973,False,,
CVE-2011-4643,4.0,MEDIUM,2012-01-03T11:55:03.987,0.08422,0.94456,False,,
CVE-2011-4644,9.3,HIGH,2012-01-03T11:55:04.047,0.07832,0.94106,False,,
CVE-2011-4778,4.3,MEDIUM,2012-01-03T11:55:04.143,0.00921,0.5695,False,,
CVE-2012-1908,4.3,MEDIUM,2012-08-17T00:55:02.827,0.00942,0.57671,False,,
CVE-2013-2766,4.3,MEDIUM,2013-04-10T15:55:15.327,0.01795,0.76322,False,,
CVE-2013-6870,4.3,MEDIUM,2013-11-25T19:55:03.497,0.01788,0.76233,False,,
CVE-2012-6447,4.3,MEDIUM,2014-01-23T15:55:06.673,0.01808,0.76503,False,,
CVE-2014-2578,4.3,MEDIUM,2014-04-02T16:06:02.190,0.01823,0.76723,False,,
CVE-2013-6771,9.3,HIGH,2014-08-07T11:13:34.377,0.04804,0.91106,False,,
CVE-2013-7394,9.0,HIGH,2014-08-07T11:13:34.500,0.02094,0.79866,False,,
CVE-2014-5197,4.0,MEDIUM,2014-08-12T20:55:03.917,0.02217,0.80964,False,,
CVE-2014-5198,4.3,MEDIUM,2014-08-12T20:55:03.963,0.01773,0.7603,False,,
CVE-2014-3147,3.5,LOW,2014-10-10T01:55:08.400,0.00759,0.51823,False,,
CVE-2014-8301,4.3,MEDIUM,2014-10-16T19:55:16.940,0.00942,0.57674,False,,
CVE-2014-8302,3.5,LOW,2014-10-16T19:55:16.987,0.00759,0.51821,False,,
CVE-2014-8303,4.3,MEDIUM,2014-10-16T19:55:17.037,0.01351,0.68863,False,,
CVE-2014-8380,4.3,MEDIUM,2014-10-21T15:55:08.767,0.03284,0.87278,False,,
CVE-2014-5466,4.3,MEDIUM,2014-12-16T18:59:05.700,0.00942,0.57676,False,,
CVE-2015-6514,4.3,MEDIUM,2015-08-18T15:59:15.317,0.0136,0.69105,False,,
CVE-2015-6515,4.3,MEDIUM,2015-08-18T15:59:16.377,0.0136,0.69105,False,,
CVE-2015-7604,4.3,MEDIUM,2015-09-29T19:59:13.840,0.0095,0.57921,False,,
CVE-2016-10126,9.8,CRITICAL,2017-01-10T11:59:00.143,0.03989,0.89529,False,,
CVE-2017-5880,6.5,MEDIUM,2017-02-04T05:59:00.177,0.01049,0.61025,False,,
CVE-2017-7565,8.8,HIGH,2017-04-06T15:59:00.307,0.02122,0.80121,False,,
CVE-2017-5607,3.5,LOW,2017-04-10T15:59:00.393,0.05853,0.92477,False,,
CVE-2016-4856,4.8,MEDIUM,2017-05-12T18:29:00.310,0.00976,0.58816,False,,
CVE-2016-4857,6.1,MEDIUM,2017-05-12T18:29:00.343,0.00812,0.53557,False,,
CVE-2016-4858,4.8,MEDIUM,2017-05-12T18:29:00.373,0.00631,0.46885,False,,
CVE-2016-4859,6.1,MEDIUM,2017-05-12T18:29:00.407,0.01432,0.70515,False,,
CVE-2017-12572,4.8,MEDIUM,2017-08-05T21:29:00.177,0.00503,0.40293,False,,
CVE-2015-4017,7.5,HIGH,2017-08-25T18:29:00.763,0.01057,0.61271,False,,
CVE-2017-17067,9.8,CRITICAL,2017-11-30T02:29:04.273,0.02956,0.85873,False,,
CVE-2018-11409,5.3,MEDIUM,2018-06-08T12:29:00.260,0.98371,0.99914,False,,
CVE-2017-18348,7.0,HIGH,2018-10-19T08:29:00.263,0.0041,0.33772,False,,
CVE-2018-7427,6.1,MEDIUM,2018-10-23T21:31:39.083,0.01019,0.60091,False,,
CVE-2018-7429,7.5,HIGH,2018-10-23T21:31:39.177,0.01747,0.75648,False,,
CVE-2018-7431,6.5,MEDIUM,2018-10-23T21:31:39.257,0.02277,0.81462,False,,
CVE-2018-7432,7.5,HIGH,2018-10-23T21:31:39.350,0.02268,0.8138,False,,
CVE-2019-0029,8.8,HIGH,2019-01-15T21:29:01.980,0.00336,0.2615,False,,
CVE-2019-5727,5.4,MEDIUM,2019-02-21T01:29:00.227,0.00638,0.47196,False,,
CVE-2019-5729,8.1,HIGH,2019-03-21T16:01:05.797,0.00702,0.49817,False,,
