cve_id,cvss_score,cvss_severity,published,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use
CVE-2005-0080,5.0,MEDIUM,2005-05-02T04:00:00.000,0.01448,0.7083,False,,
CVE-2006-0176,7.2,HIGH,2006-01-11T21:03:00.000,0.01006,0.5974,False,,
CVE-2006-0458,5.0,MEDIUM,2006-03-06T23:02:00.000,0.02467,0.82949,False,,
CVE-2006-1183,7.2,HIGH,2006-03-13T12:18:00.000,0.03223,0.87035,False,,
CVE-2006-3378,7.2,HIGH,2006-07-06T20:05:00.000,0.00341,0.26759,False,,
CVE-2006-3597,7.2,HIGH,2006-07-18T15:37:00.000,0.00536,0.42242,False,,
CVE-2006-5648,5.5,MEDIUM,2006-12-14T00:28:00.000,0.00327,0.25225,False,,
CVE-2006-5649,5.5,MEDIUM,2006-12-14T00:28:00.000,0.00332,0.25715,False,,
CVE-2007-5159,4.6,MEDIUM,2007-10-01T05:17:00.000,0.00354,0.28092,False,,
CVE-2007-3920,6.2,MEDIUM,2007-10-29T21:46:00.000,0.00356,0.28367,False,,
CVE-2006-7229,7.5,HIGH,2007-11-15T00:46:00.000,0.02801,0.85112,False,,
CVE-2007-6178,7.5,HIGH,2007-11-30T00:46:00.000,0.02441,0.82755,False,,
CVE-2008-0420,9.3,HIGH,2008-02-12T03:00:00.000,0.02224,0.81019,False,,
CVE-2008-1072,4.7,MEDIUM,2008-02-28T22:44:00.000,0.00716,0.50317,False,,
CVE-2008-2285,5.0,MEDIUM,2008-05-18T14:20:00.000,0.01693,0.74917,False,,
CVE-2008-5103,7.2,HIGH,2008-11-17T18:18:48.017,0.00471,0.3834,False,,
CVE-2008-5104,7.2,HIGH,2008-11-17T18:18:48.063,0.00471,0.3834,False,,
CVE-2008-5393,10.0,HIGH,2008-12-09T00:30:00.487,0.02347,0.82057,False,,
CVE-2008-4539,7.2,HIGH,2008-12-29T15:24:23.563,0.00537,0.42316,False,,
CVE-2006-7236,9.3,HIGH,2009-01-02T18:11:09.453,0.0747,0.93877,False,,
CVE-2009-0122,6.9,MEDIUM,2009-01-15T17:30:00.483,0.0051,0.40738,False,,
CVE-2009-1295,1.9,LOW,2009-04-30T20:30:00.390,0.00396,0.32386,False,,
CVE-2009-1573,4.6,MEDIUM,2009-05-06T17:30:09.797,0.00456,0.37365,False,,
CVE-2008-6792,5.0,MEDIUM,2009-05-07T17:30:03.360,0.011,0.62539,False,,
CVE-2009-1601,6.8,MEDIUM,2009-05-11T15:30:00.563,0.00322,0.24683,False,,
CVE-2009-1296,1.9,LOW,2009-06-09T20:30:00.280,0.00293,0.21499,False,,
CVE-2009-3232,9.3,HIGH,2009-09-17T10:30:01.250,0.04613,0.90799,False,,
CVE-2009-2939,6.9,MEDIUM,2009-09-21T19:30:00.390,0.00495,0.3986,False,,
CVE-2010-0832,6.9,MEDIUM,2010-07-12T16:30:01.627,0.00949,0.579,False,,
CVE-2010-0834,9.3,HIGH,2010-08-10T12:23:05.850,0.02715,0.84597,False,,
CVE-2011-0725,4.9,MEDIUM,2011-02-23T19:00:02.030,0.00392,0.31929,False,,
CVE-2011-1400,6.8,MEDIUM,2011-03-25T19:55:01.607,0.04061,0.89691,False,,
CVE-2011-0730,6.5,MEDIUM,2011-06-02T19:55:03.777,0.02174,0.80598,False,,
CVE-2011-3150,6.8,MEDIUM,2011-11-29T17:55:00.947,0.01904,0.77745,False,,
CVE-2011-4405,7.5,HIGH,2011-11-29T17:55:02.387,0.03449,0.87876,False,,
CVE-2012-0949,5.0,MEDIUM,2012-05-31T17:55:02.887,0.02118,0.80086,False,,
CVE-2012-0944,4.3,MEDIUM,2012-06-04T20:55:02.667,0.01211,0.65572,False,,
CVE-2012-0948,2.1,LOW,2012-06-07T21:55:02.603,0.00354,0.28136,False,,
CVE-2011-4408,6.8,MEDIUM,2012-06-16T00:55:05.547,0.01243,0.66386,False,,
CVE-2011-4409,7.5,HIGH,2012-06-16T00:55:05.657,0.01755,0.75789,False,,
CVE-2012-0950,5.0,MEDIUM,2012-06-19T20:55:05.333,0.01779,0.76112,False,,
CVE-2012-2317,4.3,MEDIUM,2012-08-07T19:55:01.437,0.02456,0.82881,False,,
CVE-2012-5356,5.8,MEDIUM,2012-10-10T18:55:05.707,0.01968,0.78486,False,,
CVE-2012-0961,2.1,LOW,2012-12-26T22:55:02.847,0.00352,0.27958,False,,
CVE-2012-0962,4.3,MEDIUM,2012-12-26T22:55:02.893,0.018,0.76398,False,,
CVE-2013-1052,7.2,HIGH,2013-03-21T17:55:03.087,0.00452,0.37118,False,,
CVE-2013-2162,1.9,LOW,2013-08-19T13:07:40.867,0.0035,0.2766,False,,
CVE-2013-1060,6.9,MEDIUM,2013-09-25T10:31:26.817,0.00441,0.36266,False,,
CVE-2013-1062,4.6,MEDIUM,2013-10-03T21:55:03.600,0.00358,0.28506,False,,
CVE-2011-4613,4.6,MEDIUM,2014-02-05T19:55:28.657,0.00862,0.55155,False,,
CVE-2013-1069,2.1,LOW,2014-02-17T16:55:08.053,0.00379,0.30678,False,,
CVE-2013-1070,4.3,MEDIUM,2014-02-17T16:55:08.100,0.02379,0.82285,False,,
CVE-2011-3628,6.9,MEDIUM,2014-04-15T23:55:07.297,0.00383,0.31062,False,,
CVE-2011-4406,3.6,LOW,2014-04-16T18:37:11.740,0.00378,0.30587,False,,
CVE-2011-3152,6.4,MEDIUM,2014-04-27T20:55:23.463,0.02291,0.81582,False,,
CVE-2013-7374,4.6,MEDIUM,2014-05-01T17:28:36.227,0.00378,0.30587,False,,
CVE-2014-3203,4.4,MEDIUM,2014-05-06T14:55:06.090,0.00513,0.4095,False,,
CVE-2014-3204,4.4,MEDIUM,2014-05-06T14:55:06.120,0.00477,0.38761,False,,
CVE-2014-0462,10.0,HIGH,2014-05-14T00:55:07.820,0.02279,0.81476,False,,
CVE-2014-2405,10.0,HIGH,2014-05-14T00:55:08.697,0.02279,0.81475,False,,
CVE-2012-0943,2.1,LOW,2014-05-22T23:55:02.830,0.00762,0.51936,False,,
CVE-2012-6648,2.1,LOW,2014-05-22T23:55:03.003,0.00376,0.30385,False,,
CVE-2013-1068,5.0,MEDIUM,2014-06-19T15:55:06.387,0.01193,0.65056,False,,
CVE-2014-5195,7.2,HIGH,2014-08-07T11:13:37.360,0.00299,0.22194,False,,
CVE-2014-1424,6.4,MEDIUM,2014-11-24T15:59:00.090,0.0157,0.73004,False,,
CVE-2014-1421,7.2,HIGH,2014-11-25T15:59:00.090,0.00507,0.40586,False,,
CVE-2015-2285,7.2,HIGH,2015-03-12T14:59:07.027,0.01015,0.59991,False,,
CVE-2015-1322,4.6,MEDIUM,2015-04-29T20:59:01.247,0.00534,0.42193,False,,
CVE-2015-8222,4.6,MEDIUM,2015-11-17T15:59:24.087,0.00382,0.30931,False,,
